Column_or_Row_Name,Unit,Definition,Data_Type,Term_Type
01397_N_percent_per_mg,percent,"Percent total nitrogen in less than 2 millimeter sediment samples. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
62948_Gravimetric_Moisture_g_per_g,grams per gram,"Gravimetric moisture of in less than 2 millimeter sediment samples. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
71851_NO3_mg_per_L_as_NO3,milligrams per liter,"Nitrate reported as nitrate (rather than as nitrogen). 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"". This analysis was run on a subset of sampling events (i.e. Parent ID). Data from additional sampling events (i.e. Parent_IDs) may be added in the future.",numeric,column_header
71856_NO2_mg_per_L_as_NO2,milligrams per liter,"Nitrite reported as nitrite (rather than as nitrogen). 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"". This analysis was run on a subset of sampling events (i.e. Parent ID). Data from additional sampling events (i.e. Parent_IDs) may be added in the future.",numeric,column_header
71870_Br_mg_per_L,milligrams per liter,"Bromide. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"". This analysis was run on a subset of sampling events (i.e. Parent ID). Data from additional sampling events (i.e. Parent_IDs) may be added in the future.",numeric,column_header
Additional_Sampling_Notes,N/A,Additional notes about any of the sampling (relevant field conditions; deviations from protocol; major hydromorphic features).,text,column_header
Albite_percent,percent,"Percent albite in less than 2 millimeter sediment samples. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
Algal_Mat_Coverage,N/A,Estimated algal mat cover on riverbed. One of the following classes may be selected: full; partial; or no coverage.,text,column_header
Amphibole_percent,percent,"Percent amphibole in less than 2 millimeter sediment samples. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
Analysis_DetectionLimit,N/A,Analytical detection limit.,numeric,row_header
Analysis_Precision,N/A,Precision of the data values.,numeric,row_header
Apatite_percent,percent,"Percent apatite in less than 2 millimeter sediment samples. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
ATP_nanomoles_per_L,nanomoles per liter,"Adenosine triphosphate (ATP) concentration in nanomoles per liter extracted from less than 2 millimeter sediment samples. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
ATP_picomoles_per_g,picomoles per gram,"Adenosine triphosphate (ATP) extracted from less than 2 millimeter sediment samples normalized to picomoles per gram using mass of dry sediment; mass of water in sediment; mass of ethylenediaminetetraacetic acid (EDTA); and mass of reagent used in extraction. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
AVG_DO_mg_per_L,milligrams per liter,Average of measurements of dissolved oxygen in laboratory incubation.,numeric,column_header
Battery,volts,Remaining sensor internal battery voltage.,numeric,column_header
Calcite_percent,percent,"Percent calcite in less than 2 millimeter sediment samples. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
Canopy_Coverage,N/A,Estimated canopy coverage over the river only. Total riparian zone canopy cover does not apply. One of the following classes may be selected: full; partial; or no coverage.,text,column_header
Chlorite_percent,percent,"Percent chlorite in less than 2 millimeter sediment samples. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
City,N/A,City.,text,column_header
City_or_Township,N/A,City or township.,text,column_header
Collection_Date,YYYY-MM-DD,Date of sample collection.,date,column_header
Collection_Method,N/A,Method of sample collection registered in the System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration) system. Controlled vocabulary from SESAR.,text,column_header
Collection_Method_Description,N/A,Description of how sample was collected.,text,column_header
Collector_Chief_Scientist,N/A,Name of person who collected the sample or primary contact.,text,column_header
Column_or_Row_Name,N/A,Column or row headers from each tabular file (comma-separated values (.csv) or tab-separated values (.tsv)) in the dataset.,text,column_header
Comment,N/A,Name of study associated with sample.,text,column_header
Contact_First_Name,N/A,Contact first name.,text,column_header
Contact_Last_Name,N/A,Contact last name.,text,column_header
Country,N/A,Country where sample was collected.,text,column_header
Data_Status,N/A,State of data readiness for publication and use.,text,row_header
Data_Type,N/A,Type of data (numeric; text; date; time; datetime).,text,column_header
Date,YYYY-MM-DD,Date.,date,column_header
Date_End,YYYY-MM-DD,The latest date in the file.,date,column_header
Date_Start,YYYY-MM-DD,The earliest date in the file.,date,column_header
DateTime,YYYY-MM-DD hh:mm:ss,Date and time of measurement.,datetime,column_header
Definition,N/A,Description of the information in a given column or row in the dataset.,text,column_header
Depositional_Type,N/A,Depositional zone type. From provided controlled vocabulary with option to write in other terms.,text,column_header
Dissolved_Oxygen,milligrams per liter,Dissolved oxygen measured during in situ sensor deployment.,numeric,column_header
Dissolved_Oxygen_sd,milligrams per liter,"Standard deviation of dissolved oxygen (DO) in milligrams per liter. This calculation excludes the first 20 minutes and last 5 minutes inside the water to account for the equilibration time of the instrument for the samples that begin with ""CM"". Samples that begin with ""SSS"" are trimmed to the average time of equilibrated CM data. The dissolved oxygen data also includes an offset for instrument calibration.",numeric,column_header
DO_Concentration_At_Incubation_Time_Zero,milligrams per liter,Dissolved oxygen measurement taken at time zero which signifies the beginning of the sediment incubation.,numeric,column_header
Dolomite_percent,percent,"Percent dolomite in less than 2 millimeter sediment samples. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
Dry_Sediment_Mass_g,grams,Sediment dry mass.,numeric,column_header
Dry_Sediment_Mass_MOI_g,grams,"Sediment dry mass from less than 2 millimeter fraction in moisture tins (i.e. the container samples with ""MOI"" are in). Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
Fe_mg_per_kg,milligrams per kilogram,Iron (II) data in milligrams per kilogram. Samples were normalized to milligrams iron (II) per kilogram sediment in the incubation vial using the dry mass of sediment and mass of water in the incubation vial. Sediment from less than 2 millimeter fraction.,numeric,column_header
Fe_mg_per_L,milligrams per liter,Iron (II) data in milligrams per liter. Iron (II) extracted from sediment from less than 2 millimeter fraction.,numeric,column_header
FIBOX_Station,N/A,Indicator of which Fibox station the incubation was performed at.,text,column_header
Field_Name,N/A,Name of field of header rows before data.,text,column_header
Field_Name_Informal_Classification,N/A,Informal classification of sample.,text,column_header
Field_Program_Cruise,N/A,Name of field program or cruise registered in the System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration) system.,text,column_header
File_Description,N/A,A brief description of the files in the data package.,text,column_header
File_Name,N/A,Name of files in the data package.,text,column_header
File_Path,N/A,File path within the data package.,text,column_header
Hydrogeomorphology,N/A,General hydrogeomorphology of river. One of the following classes may be selected: multi-channel (braided); single-channel straight; single-channel meandering.,text,column_header
Hydrograph_Online,N/A,Link to hydrograph if available.,text,column_header
IGSN,N/A,International Generic Sample Numbers (IGSNs) registered with System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration).,text,column_header
InstallationMethod_Description,N/A,Free text field to describe the sensor installation/deployment design; structure; or general information.,text,column_header
InstallationMethod_ID,N/A,Unique user-determined ID for a method described in the InstallationMethods_Description column in InstallationMethods.csv and listed as a metadata header row term in the data files.,text,column_header
Intermittent_or_Perennial,N/A,Indicator of if the stream is intermittent or perennial.,text,column_header
Latitude,decimal degrees WGS1984,Geographic location (latitude).,numeric,column_header
Locality,N/A,Name of field site where sample was collected.,numeric,column_header
Locality_Description,N/A,Description of the locality.,text,column_header
Longitude,decimal degrees WGS1984,Geographic location (longitude).,numeric,column_header
M1_DO_mg_per_L,milligrams per liter,First Fibox measurement of dissolved oxygen in laboratory incubation.,numeric,column_header
M2_DO_mg_per_L,milligrams per liter,Second Fibox measurement of dissolved oxygen in laboratory incubation.,numeric,column_header
M3_DO_mg_per_L,milligrams per liter,Third Fibox measurement of dissolved oxygen in laboratory incubation.,numeric,column_header
Macrophyte_Coverage,N/A,Estimated macrophyte cover in the river. One of the following classes may be selected: full; partial; or no coverage.,text,column_header
Material,N/A,Type of sample (e.g. Liquid>aqueous; sediment; etc.). Uses a controlled vocabulary from System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration) system.,text,column_header
Mean_00602_TN_mg_per_L_as_N,milligrams per liter,"Mean dissolved nitrogen [nitrate + nitrite + ammonia + organic-N] reported as nitrogen. 5-digit prefix refers to a US Geological Survey parameter code. For each sampling event (e.g. CM_005_Water); the total nitrogen (TN) values of each of the three biological replicates (e.g.CM_005_TN-1; CM_005_TN-2; CMC_005_TN-3) are averaged. Any replicate values that were identified as an outlier or were above/below the limit of detection are not included in the mean. Outliers were identified using distance based outlier detection. If the set of replicates had a coefficient of variation of 30 percent or higher; the outlier was identified by calculating the distance between each of the replicates. The replicate with the highest distance to the other two replicates was flagged as an outlier. The ""Mean_Missing_Reps"" column indicates if a mean does not include all three replicates using a TRUE/FALSE flag where TRUE indicates one or more replicates are missing from the mean. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
Mean_00653_PO4_mg_per_L_as_PO4,milligrams per liter,"Mean phosphate reported as phosphate (rather than as phosphorus). 5-digit prefix refers to a US Geological Survey parameter code. For each sampling event (e.g. CM_005_ION) the values of each of the three biological replicates (e.g. CM_005_ION-1; CM_005_ION-2; CM_005_ION-3) are averaged. Any replicate values that were identified as an outlier or were above/below the limit of detection are not included in the mean. Outliers were identified using distance based outlier detection. If the set of replicates had a coefficient of variation of 30 percent or higher the outlier was identified by calculating the distance between each of the replicates. The replicate with the highest distance to the other two replicates was flagged as an outlier. The ""Mean_Missing_Reps"" column indicates if a mean does not include all three replicates using a TRUE/FALSE flag where TRUE indicates one or more replicates are missing from the mean. This analysis was run on a subset of sampling events (i.e. Parent ID). Data from additional sampling events (i.e. Parent_IDs) may be added in the future.",numeric,column_header
Mean_00681_NPOC_mg_per_L_as_C,milligrams per liter,"Mean dissolved organic carbon data measured as non-purgeable organic carbon (NPOC) and reported as carbon. 5-digit prefix refers to a US Geological Survey parameter code. For each sampling event (e.g. CM_005_Water); the NPOC values of each of the three biological replicates (e.g. CM_005_OCN-1; CM_005_OCN-2; CM_005_OCN-3) are averaged. Any replicate values that were identified as an outlier or were above/below the limit of detection are not included in the mean. Outliers were identified using distance based outlier detection. If the set of replicates had a coefficient of variation of 30 percent or higher; the outlier was identified by calculating the distance between each of the replicates. The replicate with the highest distance to the other two replicates was flagged as an outlier. The ""Mean_Missing_Reps"" column indicates if a mean does not include all three replicates using a TRUE/FALSE flag where TRUE indicates one or more replicates are missing from the mean. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
Mean_00915_Ca_mg_per_L,milligrams per liter,"Mean calcium. 5-digit prefix refers to a US Geological Survey parameter code. For each sampling event (e.g. CM_005_ION) the values of each of the three biological replicates (e.g. CM_005_ION-1; CM_005_ION-2; CM_005_ION-3) are averaged. Any replicate values that were identified as an outlier or were above/below the limit of detection are not included in the mean. Outliers were identified using distance based outlier detection. If the set of replicates had a coefficient of variation of 30 percent or higher the outlier was identified by calculating the distance between each of the replicates. The replicate with the highest distance to the other two replicates was flagged as an outlier. The ""Mean_Missing_Reps"" column indicates if a mean does not include all three replicates using a TRUE/FALSE flag where TRUE indicates one or more replicates are missing from the mean. This analysis was run on a subset of sampling events (i.e. Parent ID). Data from additional sampling events (i.e. Parent_IDs) may be added in the future.",numeric,column_header
Mean_00925_Mg_mg_per_L,milligrams per liter,"Mean magnesium. 5-digit prefix refers to a US Geological Survey parameter code. For each sampling event (e.g. CM_005_ION) the values of each of the three biological replicates (e.g. CM_005_ION-1; CM_005_ION-2; CM_005_ION-3) are averaged. Any replicate values that were identified as an outlier or were above/below the limit of detection are not included in the mean. Outliers were identified using distance based outlier detection. If the set of replicates had a coefficient of variation of 30 percent or higher the outlier was identified by calculating the distance between each of the replicates. The replicate with the highest distance to the other two replicates was flagged as an outlier. The ""Mean_Missing_Reps"" column indicates if a mean does not include all three replicates using a TRUE/FALSE flag where TRUE indicates one or more replicates are missing from the mean. This analysis was run on a subset of sampling events (i.e. Parent ID). Data from additional sampling events (i.e. Parent_IDs) may be added in the future.",numeric,column_header
Mean_00930_Na_mg_per_L,milligrams per liter,"Mean sodium. 5-digit prefix refers to a US Geological Survey parameter code. For each sampling event (e.g. CM_005_ION) the values of each of the three biological replicates (e.g. CM_005_ION-1; CM_005_ION-2; CM_005_ION-3) are averaged. Any replicate values that were identified as an outlier or were above/below the limit of detection are not included in the mean. Outliers were identified using distance based outlier detection. If the set of replicates had a coefficient of variation of 30 percent or higher the outlier was identified by calculating the distance between each of the replicates. The replicate with the highest distance to the other two replicates was flagged as an outlier. The ""Mean_Missing_Reps"" column indicates if a mean does not include all three replicates using a TRUE/FALSE flag where TRUE indicates one or more replicates are missing from the mean. This analysis was run on a subset of sampling events (i.e. Parent ID). Data from additional sampling events (i.e. Parent_IDs) may be added in the future.",numeric,column_header
Mean_00935_K_mg_per_L,milligrams per liter,"Mean potassium. 5-digit prefix refers to a US Geological Survey parameter code. For each sampling event (e.g. CM_005_ION) the values of each of the three biological replicates (e.g. CM_005_ION-1; CM_005_ION-2; CM_005_ION-3) are averaged. Any replicate values that were identified as an outlier or were above/below the limit of detection are not included in the mean. Outliers were identified using distance based outlier detection. If the set of replicates had a coefficient of variation of 30 percent or higher the outlier was identified by calculating the distance between each of the replicates. The replicate with the highest distance to the other two replicates was flagged as an outlier. The ""Mean_Missing_Reps"" column indicates if a mean does not include all three replicates using a TRUE/FALSE flag where TRUE indicates one or more replicates are missing from the mean. This analysis was run on a subset of sampling events (i.e. Parent ID). Data from additional sampling events (i.e. Parent_IDs) may be added in the future.",numeric,column_header
Mean_00940_Cl_mg_per_L,milligrams per liter,"Mean chloride. 5-digit prefix refers to a US Geological Survey parameter code. For each sampling event (e.g. CM_005_ION) the values of each of the three biological replicates (e.g. CM_005_ION-1; CM_005_ION-2; CM_005_ION-3) are averaged. Any replicate values that were identified as an outlier or were above/below the limit of detection are not included in the mean. Outliers were identified using distance based outlier detection. If the set of replicates had a coefficient of variation of 30 percent or higher the outlier was identified by calculating the distance between each of the replicates. The replicate with the highest distance to the other two replicates was flagged as an outlier. The ""Mean_Missing_Reps"" column indicates if a mean does not include all three replicates using a TRUE/FALSE flag where TRUE indicates one or more replicates are missing from the mean. This analysis was run on a subset of sampling events (i.e. Parent ID). Data from additional sampling events (i.e. Parent_IDs) may be added in the future.",numeric,column_header
Mean_00945_SO4_mg_per_L_as_SO4,milligrams per liter,"Mean sulfate reported as sulfate (rather than as sulfur). 5-digit prefix refers to a US Geological Survey parameter code. For each sampling event (e.g. CM_005_ION) the values of each of the three biological replicates (e.g. CM_005_ION-1; CM_005_ION-2; CM_005_ION-3) are averaged. Any replicate values that were identified as an outlier or were above/below the limit of detection are not included in the mean. Outliers were identified using distance based outlier detection. If the set of replicates had a coefficient of variation of 30 percent or higher the outlier was identified by calculating the distance between each of the replicates. The replicate with the highest distance to the other two replicates was flagged as an outlier. The ""Mean_Missing_Reps"" column indicates if a mean does not include all three replicates using a TRUE/FALSE flag where TRUE indicates one or more replicates are missing from the mean. This analysis was run on a subset of sampling events (i.e. Parent ID). Data from additional sampling events (i.e. Parent_IDs) may be added in the future.",numeric,column_header
Mean_00950_F_mg_per_L,milligrams per liter,"Mean fluoride. 5-digit prefix refers to a US Geological Survey parameter code. For each sampling event (e.g. CM_005_ION) the values of each of the three biological replicates (e.g. CM_005_ION-1; CM_005_ION-2; CM_005_ION-3) are averaged. Any replicate values that were identified as an outlier or were above/below the limit of detection are not included in the mean. Outliers were identified using distance based outlier detection. If the set of replicates had a coefficient of variation of 30 percent or higher the outlier was identified by calculating the distance between each of the replicates. The replicate with the highest distance to the other two replicates was flagged as an outlier. The ""Mean_Missing_Reps"" column indicates if a mean does not include all three replicates using a TRUE/FALSE flag where TRUE indicates one or more replicates are missing from the mean. This analysis was run on a subset of sampling events (i.e. Parent ID). Data from additional sampling events (i.e. Parent_IDs) may be added in the future.",numeric,column_header
Mean_01130_Li_mg_per_L,milligrams per liter,"Mean lithium. 5-digit prefix refers to a US Geological Survey parameter code. For each sampling event (e.g. CM_005_ION) the values of each of the three biological replicates (e.g. CM_005_ION-1; CM_005_ION-2; CM_005_ION-3) are averaged. Any replicate values that were identified as an outlier or were above/below the limit of detection are not included in the mean. Outliers were identified using distance based outlier detection. If the set of replicates had a coefficient of variation of 30 percent or higher the outlier was identified by calculating the distance between each of the replicates. The replicate with the highest distance to the other two replicates was flagged as an outlier. The ""Mean_Missing_Reps"" column indicates if a mean does not include all three replicates using a TRUE/FALSE flag where TRUE indicates one or more replicates are missing from the mean. This analysis was run on a subset of sampling events (i.e. Parent ID). Data from additional sampling events (i.e. Parent_IDs) may be added in the future.",numeric,column_header
Mean_62948_Gravimetric_Moisture_g_per_g,grams per gram,"Mean gravimetric moisture in sediment from less than 2 millimeter fraction. 5-digit prefix refers to a US Geological Survey parameter code. For each sampling event (e.g. CM_005_MOI) the values of each of the three biological replicates (e.g. CM_005_MOI-1; CM_005_MOI-2; CM_005_MOI-3) are averaged. Any replicate values that were identified as an outlier are not included in the mean. Outliers were identified using distance based outlier detection. If the set of replicates had a coefficient of variation of 15 percent or higher and could be confirmed using gravimetric moisture calculations from respiration incubations the outlier was identified by calculating the distance between each of the replicates. The replicate with the highest distance to the other two replicates was flagged as an outlier. The ""Mean_Missing_Reps"" column indicates if a mean does not include all three replicates using a TRUE/FALSE flag where TRUE indicates one or more replicates are missing from the mean.",numeric,column_header
Mean_71851_NO3_mg_per_L_as_NO3,milligrams per liter,"Mean nitrate reported as nitrate (rather than as nitrogen). 5-digit prefix refers to a US Geological Survey parameter code. For each sampling event (e.g. CM_005_ION) the values of each of the three biological replicates (e.g. CM_005_ION-1; CM_005_ION-2; CM_005_ION-3) are averaged. Any replicate values that were identified as an outlier or were above/below the limit of detection are not included in the mean. Outliers were identified using distance based outlier detection. If the set of replicates had a coefficient of variation of 30 percent or higher the outlier was identified by calculating the distance between each of the replicates. The replicate with the highest distance to the other two replicates was flagged as an outlier. The ""Mean_Missing_Reps"" column indicates if a mean does not include all three replicates using a TRUE/FALSE flag where TRUE indicates one or more replicates are missing from the mean. This analysis was run on a subset of sampling events (i.e. Parent ID). Data from additional sampling events (i.e. Parent_IDs) may be added in the future.",numeric,column_header
Mean_71856_NO2_mg_per_L_as_NO2,milligrams per liter,"Mean nitrite reported as nitrite (rather than as nitrogen). 5-digit prefix refers to a US Geological Survey parameter code. For each sampling event (e.g. CM_005_ION) the values of each of the three biological replicates (e.g. CM_005_ION-1; CM_005_ION-2; CM_005_ION-3) are averaged. Any replicate values that were identified as an outlier or were above/below the limit of detection are not included in the mean. Outliers were identified using distance based outlier detection. If the set of replicates had a coefficient of variation of 30 percent or higher the outlier was identified by calculating the distance between each of the replicates. The replicate with the highest distance to the other two replicates was flagged as an outlier. The ""Mean_Missing_Reps"" column indicates if a mean does not include all three replicates using a TRUE/FALSE flag where TRUE indicates one or more replicates are missing from the mean. This analysis was run on a subset of sampling events (i.e. Parent ID). Data from additional sampling events (i.e. Parent_IDs) may be added in the future.",numeric,column_header
Mean_71870_Br_mg_per_L,milligrams per liter,"Mean bromide. 5-digit prefix refers to a US Geological Survey parameter code. For each sampling event (e.g. CM_005_ION) the values of each of the three biological replicates (e.g. CM_005_ION-1; CM_005_ION-2; CM_005_ION-3) are averaged. Any replicate values that were identified as an outlier or were above/below the limit of detection are not included in the mean. Outliers were identified using distance based outlier detection. If the set of replicates had a coefficient of variation of 30 percent or higher the outlier was identified by calculating the distance between each of the replicates. The replicate with the highest distance to the other two replicates was flagged as an outlier. The ""Mean_Missing_Reps"" column indicates if a mean does not include all three replicates using a TRUE/FALSE flag where TRUE indicates one or more replicates are missing from the mean. This analysis was run on a subset of sampling events (i.e. Parent ID). Data from additional sampling events (i.e. Parent_IDs) may be added in the future.",numeric,column_header
Mean_ATP_nanomoles_per_L,nanomoles per liter,"Mean adenosine triphosphate (ATP) concentration in nanomoles per liter extracted from less than 2 millimeter sediment samples. For each sampling event (e.g. CM_005_ATP) the values of each of the three biological replicates (e.g. CM_005_ATP-1; CM_005_ATP-2; CM_005_ATP-3) are averaged. Any replicate values that were identified as an outlier or were above/below the limit of detection are not included in the mean. Outliers were identified using distance based outlier detection. If the set of replicates had a coefficient of variation of 30 percent or higher in the picomoles per gram calculation the outlier was identified by calculating the distance between each of the replicates. The replicate with the highest distance to the other two replicates was flagged as an outlier. The ""Mean_Missing_Reps"" column indicates if a mean does not include all three replicates using a TRUE/FALSE flag where TRUE indicates one or more replicates are missing from the mean.",numeric,column_header
Mean_ATP_picomoles_per_g,picomoles per gram,"Mean adenosine triphosphate (ATP) extracted from less than 2 millimeter sediment samples normalized to picomoles per gram using mass of dry sediment; mass of water in sediment; mass of ethylenediaminetetraacetic acid (EDTA); and mass of reagent used in extraction. For each sampling event (e.g. CM_005_ATP) the values of each of the three biological replicates (e.g. CM_005_ATP-1; CM_005_ATP-2; CM_005_ATP-3) are averaged. Any replicate values that were identified as an outlier or were above/below the limit of detection are not included in the mean. Outliers were identified using distance based outlier detection. If the set of replicates had a coefficient of variation of 30 percent or higher in the picomoles per gram calculation the outlier was identified by calculating the distance between each of the replicates. The replicate with the highest distance to the other two replicates was flagged as an outlier. The ""Mean_Missing_Reps"" column indicates if a mean does not include all three replicates using a TRUE/FALSE flag where TRUE indicates one or more replicates are missing from the mean.",numeric,column_header
Mean_Dissolved_Oxygen,milligrams per liter,Mean dissolved oxygen (DO) in milligrams per liter measured during in situ sensor deployment. This calculation excludes the first 20 minutes and last 5 minutes inside the water to account for the equilibration time of the instrument for the CM Data. SSS data are trimmed to the average time of equilibrated CM data. The dissolved oxygen data also includes an offset for instrument calibration.,numeric,column_header
Mean_Fe_mg_per_kg,milligrams per kilogram,"Mean iron (II) data in milligrams per kilogram extracted from less than 2 millimeter sediment samples. For each sampling event (e.g. CM_005_Sediment) the iron (Fe) values of each of the three biological replicates and their analytical replicates of 10 milliliter incubations ONLY are averaged (e.g. CM_005_SFE-1a; CM_005_SFE-1b; CM_005_SFE-1c; CM_005_SFE-2a; CM_005_SFE-2b; CM_005_SFE-2c; CM_005_SFE-3a; CM_005_SFE-3b; CM_005_SFE-3c). The ""Mean_Missing_Reps"" column indicates if a mean does not include all replicates using a TRUE/FALSE flag where TRUE indicates one or more replicates are missing from the mean.",numeric,column_header
Mean_Fe_mg_per_L,milligrams per liter,"Mean iron (II) data in milligrams per liter extracted from less than 2 millimeter sediment samples. For each sampling event (e.g. CM_005_Sediment) the iron (Fe) values of each of the three biological replicates and their analytical replicates of 10 milliliter incubations ONLY are averaged (e.g. CM_005_SFE-1a; CM_005_SFE-1b; CM_005_SFE-1c; CM_005_SFE-2a; CM_005_SFE-2b; CM_005_SFE-2c; CM_005_SFE-3a; CM_005_SFE-3b; CM_005_SFE-3c). The ""Mean_Missing_Reps"" column indicates if a mean does not include all replicates using a TRUE/FALSE flag where TRUE indicates one or more replicates are missing from the mean.",numeric,column_header
Mean_Missing_Reps,N/A,Indication of whether all replicates (reps) are included in the calculation of the mean (with a FALSE flag) or all replicates are not included (with a TRUE flag).,numeric,column_header
