# HeaderRows_8
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss; Minidot_01; PME miniDOT Logger real time clock.
# Battery; volts; Minidot_01; PME miniDOT Logger internal batteries.
# Temperature; degree_celsius; Minidot_01; PME miniDOT Logger with temperature sensor.
# Dissolved_Oxygen; milligrams_per_liter; Minidot_01; PME miniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_Saturation; percent_saturation; Minidot_01; PME miniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
DateTime,Time_Zone,Sample_Kit_ID,miniDOT_SN,Battery,Temperature,Dissolved_Oxygen,Dissolved_Oxygen_Saturation
 2022-11-14 10:21:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.53,10.357,90.74
 2022-11-14 10:22:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.52,10.367,90.81
 2022-11-14 10:23:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.53,10.372,90.87
 2022-11-14 10:24:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.51,10.367,90.79
 2022-11-14 10:25:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.54,10.361,90.79
 2022-11-14 10:26:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.5,10.384,90.92
 2022-11-14 10:27:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.52,10.365,90.79
 2022-11-14 10:28:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.52,10.378,90.9
 2022-11-14 10:29:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.52,10.379,90.91
 2022-11-14 10:30:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.52,10.368,90.81
 2022-11-14 10:31:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.52,10.376,90.88
 2022-11-14 10:32:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.52,10.379,90.91
 2022-11-14 10:33:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.52,10.377,90.89
 2022-11-14 10:34:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.52,10.382,90.94
 2022-11-14 10:35:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.52,10.381,90.93
 2022-11-14 10:36:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.49,10.388,90.93
 2022-11-14 10:37:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.51,10.384,90.93
 2022-11-14 10:38:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.49,10.378,90.84
 2022-11-14 10:39:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.49,10.381,90.87
 2022-11-14 10:40:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.49,10.402,91.05
 2022-11-14 10:41:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.5,10.392,90.99
 2022-11-14 10:42:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.5,10.396,91.02
 2022-11-14 10:43:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.49,10.385,90.9
 2022-11-14 10:44:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.48,10.41,91.1
 2022-11-14 10:45:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.49,10.403,91.06
 2022-11-14 10:46:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.5,10.393,90.99
 2022-11-14 10:47:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.49,10.392,90.96
 2022-11-14 10:48:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.5,10.393,90.99
 2022-11-14 10:49:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.51,10.408,91.14
 2022-11-14 10:50:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.47,10.408,91.06
 2022-11-14 10:51:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.49,10.399,91.02
 2022-11-14 10:52:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.5,10.395,91.01
 2022-11-14 10:53:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.51,10.388,90.97
 2022-11-14 10:54:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.49,10.409,91.11
 2022-11-14 10:55:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.47,10.411,91.07
 2022-11-14 10:56:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.49,10.401,91.04
 2022-11-14 10:57:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.48,10.406,91.07
 2022-11-14 10:58:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.47,10.418,91.15
 2022-11-14 10:59:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.48,10.418,91.17
 2022-11-14 11:00:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.48,10.409,91.09
 2022-11-14 11:01:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.46,10.425,91.17
 2022-11-14 11:02:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.47,10.425,91.19
 2022-11-14 11:03:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.48,10.407,91.08
 2022-11-14 11:04:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.48,10.421,91.2
 2022-11-14 11:05:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.47,10.426,91.2
 2022-11-14 11:06:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.47,10.42,91.15
 2022-11-14 11:07:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.47,10.431,91.25
 2022-11-14 11:08:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.47,10.427,91.21
 2022-11-14 11:09:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.47,10.421,91.18
 2022-11-14 11:10:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.46,10.432,91.23
 2022-11-14 11:11:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.47,10.421,91.18
 2022-11-14 11:12:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.47,10.431,91.25
 2022-11-14 11:13:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.48,10.412,91.12
 2022-11-14 11:14:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.46,10.435,91.26
 2022-11-14 11:15:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.46,10.441,91.31
 2022-11-14 11:16:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.46,10.441,91.31
 2022-11-14 11:17:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.47,10.433,91.26
 2022-11-14 11:18:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.46,10.433,91.24
 2022-11-14 11:19:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.45,10.439,91.28
