Column_or_Row_Name,Unit,Definition,Data_Type,Term_Type
M2_DO_mg_per_L,milligrams_per_liter,Second Fibox measurement of dissolved oxygen in laboratory incubation.,numeric,column_header
M3_DO_mg_per_L,milligrams_per_liter,Third Fibox measurement of dissolved oxygen in laboratory incubation.,numeric,column_header
Material,N/A,Type of sample (e.g. Liquid>aqueous; sediment; etc.). Uses a controlled vocabulary from System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration) system.,text,column_header
Met.Station,N/A,Name and link of meteorological station  if there is one.,text,column_header
Met.Station.Nearby,N/A,Indicator if there is a meteorological station nearby.,text,column_header
Methanol_elution_mL,milliliters,Methanol elution.,numeric,column_header
methodDescription,N/A,Description of method code.,text,column_header
methodID,N/A,Alphanumeric ID associated with method code.,text,column_header
methodName,N/A,Name of method code category.,text,column_header
methodReference,N/A,Reference of method.,text,column_header
Mg_wt_percent,weight_percent,Magnesium (weight percent) from XRF.,numeric,column_header
Missing_Value_Codes,N/A,Missing value codes.,text,column_header
Mn_wt_percent,weight_percent,Manganese (weight percent) from XRF.,numeric,column_header
MS_Algal.Mat.Coverage,N/A,Indicator of algal mat coverage at the midstream site what is the algal mat coverage.,text,column_header
MS_Depositional.Type,N/A,Midstream sediment location depositional zone type. From provided controlled vocabulary with option to write it other terms.,text,column_header
MS_Latitude_dec.deg,decimal_degrees_WGS84,Latitude of midstream site.,numeric,column_header
MS_Longitude_dec.deg,decimal_degrees_WGS84,Longitude of midstream site.,numeric,column_header
MS_Macrophyte.Coverage,N/A,Indicator of macrophyte coverage at the midstream site.,text,column_header
MS_Sunlight.Access_Perc.Canopy.Cover,N/A,Indicator of the extent sunlight is blocked from the stream by canopy cover or other sources at the midstream site.,text,column_header
MS_Water.Column.Height_cm,centimeters,Height of water column at midstream sampling location.,numeric,column_header
Notes,N/A,Free text field to record notes related to the site visit; including weather; site disturbance; or other information relevant to the quality of data collected.,text,column_header
NPOC_Dilution_Description,N/A,Description of why dilution occurred (method code).,text,column_header
NPOC_Dilution_Factor,N/A,NPOC dilution factor for calculating NPOC concentration.,numeric,column_header
NPOC_Dilution_Method,N/A,Dilution method (method code).,text,column_header
NPOC_Software_Method,N/A,NPOC method (method code).,text,column_header
Number.Days.Since.Precip,days,Number of days since precipitation  if there was precipitation within the last week.,numeric,column_header
Number_Points_In_Respiration_Regression,N/A,Number of data points included in the respiration regression. ,numeric,column_header
Number_Points_Removed_Respiration_Regression,N/A,Number of data points removed from the respiration regression. No points were removed. This column is included in this data package for consistency with other data packages. ,numeric,column_header
Other_Names,N/A,Other names used for the site.,text,column_header
p_value,N/A,"P-value of regression. This column is  referred to as ""Respiration_p_value"" in other data packages.",numeric,column_header
P_wt_percent,weight_percent,Phosphorus (weight percent) from XRF.,numeric,column_header
Parent_IGSN,N/A,The IGSN for each site ID.,text,column_header
Percent_Clay,percent,Percent clay (calculated using 1.5 hour and 24 hour hydrometer readings).,numeric,column_header
Percent_Coarse_Sand,percent,Percent coarse sand (less than 2000 micrometers and greater than 500 micrometers).,numeric,column_header
Percent_Fine_Sand,percent,Percent fine sand (less than 250 micrometers and greater than 53 micrometers).,numeric,column_header
Percent_Med_Sand,percent,Percent medium sand (less than 500 micrometers and greater than 250 micrometers).,numeric,column_header
Percent_Silt,percent,Percent silt (calculated as 100 - (percent sand + percent clay)).,numeric,column_header
Percent_Tot_Sand,percent,Percent total sand (calculated from sum of fine; medium; and coarse sand).,numeric,column_header
Physiographic_Feature_Name,N/A,Name of the physiographic feature (stream).,text,column_header
Precipitate_Description,N/A,Precipitate Description (method code).,text,column_header
Precipitation.Within.Week,days,Indicator of precipitation within the last week.,numeric,column_header
Primary.Sources.Flow.Variation,N/A,Indicator of the primary sources of variation in river flow.,text,column_header
Primary_Physiographic_Feature,N/A,Type of physical feature that sample was collected from using suggested vocabulary from System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration) system. Controlled vocabulary from SESAR.).,text,column_header
Published.Work,N/A,Links and citations to published work if it exists.,text,column_header
Published.Work.On.Site,N/A,Indicator of published work on the site.,text,column_header
R_squared,N/A,"R2 of regression. This column is  referred to as ""Respiration_R_Squared"" in other data packages.",numeric,column_header
R_squared_adj,N/A,"Adjusted R2 of regression. This column is  referred to as ""Respiration_R_Squared_Adj"" in other data packages.",numeric,column_header
Randomized_Method,N/A,Indicator of randomized sampling (method code).,text,column_header
rate_mg_per_L_per_h,milligrams_O2_per_liter_per_hour,"Respiration rate. This column is  referred to as ""Respiration_Rate_mg_DO_per_L_per_H"" in other data packages.",numeric,column_header
rate_mg_per_L_per_min,milligrams_O2_per_liter_per_minute,Respiration rate .,numeric,column_header
Related_URL,N/A,Related URL associated with the samples.,text,column_header
Related_URL_Type,N/A,Type of URL associated with the samples.,text,column_header
River_Gradient,N/A,General gradient of stream. From provided controlled vocabulary.,text,column_header
S_wt_percent,weight_percent,Sulfur (weight percent) from XRF.,numeric,column_header
Sample_ID,N/A,Sample ID where the replicates for sediment samples are: U is upstream; M is midstream; and D is downstream.,text,column_header
Sample_Name,N/A,"Name of the sample. The format is S19S_####_[Material indicator]. Each unique sample name refers to all samples from a given sampling event (point in space and time; assigned a Sample ID formatted as S19S_####) of a given material (i.e. ""sediment""; ""water;"" or ""RNA"" for filter). The beginning of the sample name (before ""_[Material indicator]"") can be mapped directly to the Sample IDs used throughout the data package.",text,column_header
Sampler_Name,N/A,Name of person who collected the sample.,text,column_header
Sampler_Organization,N/A,Organization of person who collected the sample.,text,column_header
Sed_Extract_Method,N/A,Method of extracting sample.,text,column_header
SED_INC_DESC,N/A,Indicator of domestic (United States) or international samples.,text,column_header
Sediment,N/A,Dominant sediment type. From provided controlled vocabulary.,text,column_header
Si_wt_percent,weight_percent,Silicon (weight percent) from XRF.,numeric,column_header
slope_of_the_regression,milligrams_per_liter_per_minute,Slope of the regression calculated from the time series of oxygen measurements.,numeric,column_header
SPE_Method,N/A,Solid Phase Extraction (SPE) Method  (method code).,text,column_header
SPE_NPOC_sample_concentration_mg.per.L.as.C,milligrams_per_liter_as_carbon,Sample concentration after dilution (Target final concentration 1.5 milligrams per liter as carbon for solid phase extraction).,numeric,column_header
SPE_sample_volume_mL,milliliters,Sample volume for Solid Phase Extraction (SPE).,numeric,column_header
Standard,N/A,ESS-DIVE Reporting Format or other standard applied to the data file.,text,column_header
Start_Time,hh:mm ,Sampling start time.,time,column_header
StartMeasureTime,hh:mm,Start time of laboratory incubation.,time,column_header
State_or_Province,N/A,State or province where sample was collected.,text,column_header
StopMeasureTime,hh:mm,Stop time of laboratory incubation.,time,column_header
Stream_Name,N/A,Stream name.,text,column_header
Stream_Order,N/A,Stream order.,numeric,column_header
Study_Code,N/A,Unique code assigned to study.,text,column_header
Subsampling_Method,N/A,Subsampling approach method.,text,column_header
SW_pH,pH,pH of water at sampling location.,numeric,column_header
SW_Temp_degC,degrees_celsius,Water temperature at 50% depth at the sampling location.,numeric,column_header
Temperature_degreesC,degrees_Celsius,Fibox temperature at each measurement during incubation.,numeric,column_header
Term_Type,N/A,Indicates whether the header is a column header or row header.,text,column_header
Thaw_Date,N/A,Date Thawed.,date,column_header
Thawed_Method,N/A,Thawed method (method code).,text,column_header
Time_zone,N/A,Local time zone.,text,column_header
Total_Bacteria_cells_per_gram,cells_per_gram,Total bacteria (rounded).,numeric,column_header
Total_Heterotrophs_cells_per_gram,cells_per_gram,Total heterotrophic bacteria. Calculated by subtracting total phototrophic bacteria from total bacteria prior to rounding.,numeric,column_header
total_incubation_time_min,minutes,"Total incubation time.  This column is  referred to as ""Total_Incubation_Time_Min"" in other data packages.",numeric,column_header
Total_Photorophs_cells_per_gram,cells_per_gram,Total phototrophic bacteria (rounded).,numeric,column_header
Unit,N/A,Unit of measurement that applies to a given column or row in the data package.,text,column_header
US.or.DS.of.Gauge,N/A,Indicator of if the site is upstream or downstream of gauging station.,text,column_header
US_Algal.Mat.Coverage,N/A,Indicator of algal mat coverage at the upstream site.,text,column_header
US_Depositional.Type,N/A,Upstream sediment location depositional zone type. From provided controlled vocabulary with option to write it other terms.,text,column_header
US_Latitude_dec.deg,decimal_degrees_WGS84,Latitude of upstream site.,numeric,column_header
US_Longitude_dec.deg,decimal_degrees_WGS84,Longitude of upstream site.,numeric,column_header
US_Macrophyte.Coverage,N/A,Indicator of macrophyte coverage at the upstream site.,text,column_header
US_Sunlight.Access_Perc.Canopy.Cover,N/A,Indicator of the extent sunlight is blocked from the stream by canopy cover or other sources at the upstream site.,text,column_header
US_Water.Column.Height_cm,centimeters,Height of water column at upstream sampling location.,numeric,column_header
Vial_Break_Method,N/A,Indicator of vial conditions (method code).,text,column_header
W_wt_percent,weight_percent,Tungsten (weight percent) from XRF.,numeric,column_header
Water.Quality.Data,N/A,List of types of water quality data if it exists.,text,column_header
Water.Quality.Data.Available,N/A,Indicator of the existence of water quality data for the site.,text,column_header
Water_Mass_g,grams,Water mass.,numeric,column_header
Weather,N/A,Weather conditions (sunny; partly cloudy; overcast; raining; other) during sample  collection.,text,column_header
Wet_Sediment_Mass_g,grams,Mass of wet sediment.,numeric,column_header
Wet_Sediment_Volume_mL,milliliters,Volume of wet sediment.,numeric,column_header
