gid,RA_SO,RA_dm,run_mm_cyr,dor_pc_pva,gwt_cm_cav,ele_mt_cav,slp_dg_cav,sgr_dk_rav,tmp_dc_cyr,tmp_dc_cdi,pre_mm_cyr,pre_mm_cdi,for_pc_cse,crp_pc_cse,pst_pc_cse,ire_pc_cse,gla_pc_cse,prm_pc_cse,ppd_pk_cav,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,RA_ms_av,RA_ms_di,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment,log10_RR
65,3.0,0.684136,646.0,0.0,95.0,354.0,32.0,24.0,44.0,321.0,838.0,82.0,100.0,7.0,1.0,0.0,0.0,0.0,2.353,11.96,7.0,11.339999999999998,109.69928371596744,0.9283197083121002,0.7167311432816325,-1.5833333333333333,0.18329849010107324
66,2.0,0.439705,817.0,0.0,86.0,35.0,18.0,28.0,81.0,264.0,1113.0,45.0,42.0,6.0,1.0,0.0,0.0,0.0,284.827,17.04,7.0,9.32,96.9179202824957,0.6792302271930192,1.0576171277988886,-23.856666666666666,1.3485854923343437
67,2.0,0.448364,696.0,0.0,271.0,412.0,50.0,119.0,129.0,224.0,1410.0,61.0,71.0,12.0,2.0,0.0,0.0,0.0,70.836,19.13,8.0,8.85,100.5138427062692,0.648023950009581,1.0546564900693567,-42.923333333333325,1.6315826107984759
68,2.0,0.435213,731.0,0.0,256.0,654.0,43.0,106.0,125.0,209.0,1116.0,34.0,100.0,17.0,32.0,1.0,0.0,0.0,276.686,18.75,6.5,8.75,101.5418084601426,0.6430777792455641,0.8741135897961992,-2.9,0.4539088129066851
69,1.0,0.112211,289.0,0.0,20.0,42.0,0.0,27.0,201.0,150.0,1331.0,146.0,100.0,14.0,21.0,2.0,0.0,0.0,0.989,21.91,5.5,5.62,64.48740203061719,0.282450745016536,0.1580881035540313,-0.37333333333333335,-0.4432513823086253
70,6.0,2.4071,383.0,0.0,15.0,27.0,7.0,17.0,199.0,160.0,1369.0,134.0,34.0,19.0,19.0,5.0,0.0,0.0,13.323,23.26,8.0,7.87,92.49557621647013,1.1019765382649729,1.1783400881895003,-124.68333333333332,2.0034574650055044
71,4.0,1.30744,375.0,0.0,7.0,11.0,0.0,0.0,202.0,154.0,1231.0,131.0,100.0,4.0,4.0,3.0,0.0,0.0,28.790000000000003,22.73,8.0,7.19,83.49799256931523,1.1756010006077138,0.7138233672993485,-22.393333333333334,1.3433157072017492
72,2.0,0.439403,397.0,0.0,128.0,133.0,19.0,19.0,160.0,207.0,1214.0,49.0,100.0,0.0,0.0,0.0,0.0,0.0,4.983,16.99,6.5,8.24,86.61080802930019,0.5411638331504848,0.9685458067439298,-1.9166666666666667,0.2612766428947058
73,1.0,0.13602,414.0,0.0,167.0,82.0,17.0,65.0,172.0,204.0,1181.0,68.0,48.0,3.0,0.0,1.0,0.0,0.0,649.425,21.04,6.5,8.85,100.33058538674338,0.2340308963922573,0.2750132653457402,-2.33,0.34845128260361663
74,1.0,0.0680952,34.0,0.0,676.0,2852.0,109.0,67.0,38.0,193.0,667.0,66.0,90.0,1.0,14.0,0.0,0.0,0.0,0.0,11.33,7.0,7.86,100.9443384262786,0.1489513822688274,0.320245471877979,-3.5400000000000005,0.5366856777185375
75,6.0,2.97833,676.0,43.0,11.0,52.0,7.0,2.0,169.0,212.0,1404.0,74.0,75.0,12.0,5.0,1.0,0.0,0.0,50.647,27.89,7.0,7.68,98.53372569746482,0.9873128583658876,1.7490917200843168,-7.866666666666667,0.8938441783243146
76,6.0,3.51716,445.0,80.0,15.0,-1.0,1.0,0.0,176.0,190.0,1316.0,93.0,99.0,3.0,0.0,0.0,0.0,0.0,31.211,19.62,6.5,8.95,97.67950121445716,1.2295204598250196,1.4470541051459935,-33.64,1.5263081415172408
77,1.0,0.188531,199.0,0.0,468.0,3161.0,145.0,310.0,-5.0,234.0,589.0,26.0,100.0,1.0,18.0,1.0,0.0,7.0,11.454,6.32,6.5,8.67,102.17913889957872,0.2798385479779268,1.0748938618591393,-9.643333333333333,0.9832172122018205
78,5.0,2.9652,481.0,135.0,12.0,10.0,3.0,4.0,171.0,204.0,1188.0,79.0,32.0,12.0,1.0,1.0,0.0,0.0,9.438,28.87,6.5,5.760000000000001,74.80938842335604,1.0819721934917887,1.5295491085600765,-34.30333333333333,1.4035770731065946
79,1.0,0.189314,379.0,0.0,9.0,34.0,2.0,8.0,202.0,179.0,1145.0,57.0,0.0,4.0,9.0,0.0,0.0,0.0,837.172,31.03,8.0,4.47,60.43754594053237,0.7606486733536282,0.9450978151754305,-20.310000000000002,1.3061553354994404
80,1.0,0.18707299999999996,425.0,0.0,148.0,197.0,23.0,65.0,131.0,229.0,1110.0,27.0,100.0,9.0,0.0,0.0,0.0,0.0,2.57,22.11,6.8,8.54,100.22002910231338,0.5136376024654604,0.9926832847648795,-4.066666666666666,0.6016016876330053
81,2.0,0.21507,81.0,0.0,794.0,2441.0,130.0,335.0,20.0,233.0,518.0,21.0,100.0,8.0,16.0,0.0,0.0,0.0,0.0,9.635,8.155,9.55,110.54065412503591,0.2030257384242583,0.9589925432482248,-26.011666666666667,1.4061220315482654
82,3.0,0.564739,96.0,0.0,1150.0,2017.0,240.0,127.0,46.0,244.0,504.0,25.0,99.0,8.0,7.0,2.0,0.0,0.0,40.668,12.229999999999999,8.0,9.14,108.69150864607592,0.2719493168171717,1.2404141648149023,-58.550000000000004,1.754672550361427
83,8.0,6.90896,236.0,131.0,95.0,142.0,10.0,1.0,125.0,280.0,963.0,58.0,6.0,34.0,3.0,0.0,0.0,0.0,257.15,27.83,7.5,7.650000000000001,99.1097846050484,1.4295237602401103,1.6556536553909351,-3.1033333333333335,0.4831771559368372
84,8.0,6.95054,233.0,131.0,98.0,140.0,14.0,1.0,124.0,280.0,959.0,58.0,33.0,42.0,6.0,0.0,0.0,0.0,52.43,27.83,7.5,7.650000000000001,99.0859685390804,1.4310419762110966,1.6493075474546515,-7.956666666666667,0.9000175278216179
85,5.0,1.37801,283.0,959.0,411.0,1747.0,101.0,69.0,75.0,201.0,403.0,58.0,61.0,1.0,23.0,2.0,0.0,0.0,78.911,13.14,6.5,8.94,105.06763681078785,0.8569597484495922,1.3806423132104626,-65.59666666666666,1.8070396755347946
86,5.0,1.12276,74.0,1847.0,7.0,272.0,1.0,7.0,51.0,359.0,529.0,76.0,0.0,75.0,2.0,1.0,0.0,0.0,600.21,19.16,8.0,9.3,103.92057203087602,1.3130200849593332,0.4474465199350049,-103.90666666666668,2.0028177815669537
87,7.0,4.67533,383.0,899.0,16.0,74.0,4.0,4.0,166.0,233.0,1250.0,55.0,15.0,34.0,5.0,18.0,0.0,0.0,4.35,20.33,8.0,8.91,99.515835167317,1.3834925766736117,1.6949154049865367,-45.18666666666667,1.6546810923931323
88,3.0,0.44060799999999994,55.0,0.0,1171.0,1661.0,217.0,338.0,49.0,254.0,425.0,42.0,98.0,15.0,70.0,3.0,0.0,0.0,0.711,10.55,8.0,9.58,105.03969968829124,0.2024831049129021,1.1241896376799132,-47.78,1.675056539931494
89,5.0,2.05924,1932.0,0.0,786.0,188.0,223.0,42.0,94.0,103.0,2306.0,337.0,100.0,1.0,0.0,0.0,0.0,0.0,1.19,12.56,6.0,10.19,97.94597332387566,0.814774311725948,1.6840090767422151,-3.6933333333333334,0.5664599456690302
90,1.0,0.186982,690.0,0.0,548.0,279.0,54.0,176.0,72.0,269.0,1178.0,24.0,83.0,4.0,1.0,0.0,0.0,0.0,14.042999999999997,9.594285714285714,6.642857142857143,11.348571428571429,100.67343304047485,0.4971656560962753,0.7669842031233995,-4.488095238095238,0.5097882489194715
91,1.0,0.196746,1486.0,0.0,590.0,570.0,159.0,336.0,85.0,162.0,2437.0,404.0,100.0,0.0,0.0,0.0,0.0,0.0,6.006,9.75157894736842,6.7105263157894735,10.96157894736842,102.10182646033213,0.5672135020176965,0.9202617229531963,-4.4947368421052625,0.5476407966138859
92,1.0,0.179513,559.0,0.0,158.0,124.0,43.0,40.0,171.0,204.0,1428.0,75.0,100.0,0.0,0.0,0.0,0.0,0.0,0.033,17.11857142857143,6.357142857142857,9.072857142857142,94.34997982304046,0.4579661083323724,0.9137566056987952,-1.3280952380952382,0.0570082595240151
93,1.0,0.175158,557.0,0.0,168.0,128.0,20.0,96.0,124.0,247.0,1119.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1529.11,25.7,7.5,,,0.39785227016746766,0.580528101258446,-542.2433333333333,1.796644166680715
94,2.0,0.33367,260.0,0.0,494.0,2007.0,112.0,273.0,79.0,155.0,877.0,158.0,99.0,0.0,5.0,0.0,0.0,0.0,0.147,11.2,6.5,,,0.4556993556469721,1.1103092821269878,-13.385,1.1152341682311537
95,1.0,0.129239,344.0,0.0,458.0,2186.0,118.0,2539.0,69.0,153.0,832.0,149.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,12.6,6.5,4.62,56.52265996909179,0.0862056369719904,0.1965196300463172,-11.14,1.0283130735760944
96,5.0,1.25247,112.0,48.0,150.0,1525.0,10.0,12.0,73.0,301.0,212.0,38.0,0.0,8.0,71.0,13.0,0.0,0.0,28.397000000000002,25.600000000000005,8.0,,,0.5354326376407584,1.3367934563327584,-31.75333333333333,1.4919312609849775
97,6.0,3.48063,342.0,130.0,55.0,26.0,6.0,5.0,191.0,174.0,1258.0,104.0,69.0,6.0,0.0,1.0,0.0,0.0,63.85999999999999,30.0,6.7,,,0.9537728303674672,1.730961109508363,-8.923333333333334,0.6890397540368127
