methodName,methodID,methodDescription,methodReference
SPE_Method,SPE_002,Solid phase extraction (SPE) following methods by Dittmar et al. (2008) ( https://doi.org/10.4319/lom.2008.6.230). NPOC concentration in the samples was normalized to 1.5 mg C/L prior SPE. Some of the sample volume might have been lost during elution.,
SPE_Method,SPE_003,Solid phase extraction (SPE) following methods by Dittmar et al. (2008) ( https://doi.org/10.4319/lom.2008.6.230). NPOC concentration in the samples was normalized to 1.5 mg C/L prior SPE. Stored in the -20degC for 30 days before running.,
Geochem_Method_QA_QC,Geochem_QA_000,Geochemistry data were not evaluated for specific QA/QC requirements,
Geochem_Method_QA_QC,Geochem_QA_001,"ICP/IC/TN/NPOC data evaluated for whether values were within +/- 10% of standard curve. If not then values replaced with ""Below_Range or ""Above_Range"". ICP and IC data use low range and high range standard curves for data processing. Standard curves must have R-squared values >0.985. If standard curve R-squared is <0.985 then sample values are replaced with ""Low_Rsq_in_STD_Curve"" ""Low_Rsq_in_Low_Range_STD_Curve"" or ""Low_Rsq_in_High_Range_STD_Curve""",
Geochem_Method_QA_QC,Geochem_QA_002,"ICP/IC/TN/NPOC data evaluated for whether values were within +/- 10% of standard curve. If not then values replaced with ""Below_Range or ""Above_Range"". ICP and IC data use low range and high range standard curves for data processing. Standard curves must have R-squared values >0.985. If standard curve R-squared is <0.985 then sample values are replaced with ""Low_Rsq_in_STD_Curve"" ""Low_Rsq_in_Low_Range_STD_Curve"" or ""Low_Rsq_in_High_Range_STD_Curve"". For TN and NPOC data: Injections with Area = 0 were dropped. If any sample had fewer than 3 injections then sample values are replaced with ""Too_Few_Injections"". If there were more than 3 injections - the 3 that were closest to each other were retained; the others were dropped. For each sample- the ratio of maximum to minimum Areas within the remaining 3 injections was found and if the ratio was greater than 2 - the reported concentration is given as ""Injections_Too_Variable""",
Sed_Extract_Method,SEDEXT_000,Samples were water not sediment. No extraction needed.,
Sed_Extract_Method,SEDEXT_001,5mL of sediment was extracted by adding 10mL of milliQ water and setting to shake on a platform shaker at 375 rpm for 2 hours. Centrifuged for 5 minutes at 25degC at 6000g then filtered with a 0.22 um sterivex filter. The filtrate was used for subsequent analyses.,
Sed_Extract_Method,SEDEXT_002,Sediment samples were extracted by adding varying amounts of sediment and milliQ water ratios then set to shake on a platform shaker for 375 rpm for 2 hours. Centrifuged for 5 minutes at 25C at 6000g then filtered with a 0.22 um sterivex filter. The filtrate was used for subsequent analyses.,
Preservative_Method,PRES_000,30 mL commercially-made RNALater added,
Preservative_Method,PRES_001,30 mL house-made RNALater added,
Date_Received,DATEREC_000,Date received was not recorded,
Sediment_INC_Description,SED_INC_DESC_000,Domestic sediment. Incubated.,
Sediment_INC_Description,SED_INC_DESC_001,International sediment. Not incubated,
Sediment_INC_Description,SED_INC_DESC_002,"Not incubated due to sample loss, shipping delays, or alternate reasons.",
Sediment_INC_Method,SED_INC_000,Sediment was not incubated.,
Sediment_INC_Method,SED_INC_001,"10 mL of sediment and approximately 30 mL of unfiltered water from the site were used to incubate the sediment. Water was added to 40 mL glass vials with sediment until there was no headspace. Before incubation sediments were kept at 21degC overnight in a temperature controlled chamber prior to incubation and were aerated for ~10 min before adding the unfiltered water. The vials were placed on a shaker at 250 rpm in the dark. Dissolved oxygen concentrations were measured non-invasively with an optical oxygen meter (Fibox 3; PreSens GmbH, Germany) every 15 minutes for 2 hours or until the dissolved oxygen concentration reached 5 mg/L",
