Study_Code,Sample_ID,Date,StartMeasureTime,StopMeasureTime,M1_DO_mg_per_L,M2_DO_mg_per_L,M3_DO_mg_per_L,AVG_DO_mg_per_L,Temperature_degreesC
WHONDRS_S19S,S19S_0008_SED_INC-U,7/31/2019,9:09:00 AM,9:09:00 AM,7.21,7.23,7.25,7.23,-9999
WHONDRS_S19S,S19S_0008_SED_INC-U,7/31/2019,9:27:00 AM,9:27:00 AM,6.1,6.06,6.09,6.08,20.7
WHONDRS_S19S,S19S_0008_SED_INC-U,7/31/2019,9:42:00 AM,9:43:00 AM,4.47,4.53,4.54,4.51,21.2
WHONDRS_S19S,S19S_0009_SED_INC-D,7/31/2019,9:18:00 AM,9:18:00 AM,6.56,6.5,6.53,6.53,20.8
WHONDRS_S19S,S19S_0009_SED_INC-D,7/31/2019,9:31:00 AM,9:31:00 AM,3.91,3.93,3.94,3.93,21.1
WHONDRS_S19S,S19S_0009_SED_INC-M,7/31/2019,9:16:00 AM,9:16:00 AM,6.75,6.76,6.75,6.75,21.3
WHONDRS_S19S,S19S_0009_SED_INC-M,7/31/2019,9:29:00 AM,9:29:00 AM,4.31,4.32,4.33,4.32,21
WHONDRS_S19S,S19S_0009_SED_INC-U,7/31/2019,9:14:00 AM,9:15:00 AM,6.21,6.24,6.25,6.23,21.1
WHONDRS_S19S,S19S_0009_SED_INC-U,7/31/2019,9:29:00 AM,9:29:00 AM,4.43,4.39,4.38,4.4,21
WHONDRS_S19S,S19S_0010_SED_INC-D,8/2/2019,8:47:00 AM,8:47:00 AM,8.55,8.58,8.56,8.56,20.9
WHONDRS_S19S,S19S_0010_SED_INC-D,8/2/2019,9:02:00 AM,9:02:00 AM,8.5,8.52,8.59,8.54,21.2
WHONDRS_S19S,S19S_0010_SED_INC-D,8/2/2019,9:17:00 AM,9:17:00 AM,8.58,8.57,8.65,8.6,20.8
WHONDRS_S19S,S19S_0010_SED_INC-D,8/2/2019,9:50:00 AM,9:50:00 AM,8.29,8.23,8.14,8.22,21
WHONDRS_S19S,S19S_0010_SED_INC-D,8/2/2019,10:20:00 AM,10:21:00 AM,7.55,7.6,7.66,7.6,21.1
WHONDRS_S19S,S19S_0010_SED_INC-D,8/2/2019,10:50:00 AM,10:50:00 AM,7.63,7.65,7.67,7.65,20.9
WHONDRS_S19S,S19S_0010_SED_INC-M,8/2/2019,8:48:00 AM,8:48:00 AM,8.46,8.47,8.51,8.48,21.3
WHONDRS_S19S,S19S_0010_SED_INC-M,8/2/2019,9:02:00 AM,8:16:00 AM,8.18,8.2,8.17,8.18,21.6
WHONDRS_S19S,S19S_0010_SED_INC-M,8/2/2019,9:17:00 AM,9:17:00 AM,7.92,7.93,7.94,7.93,21.1
WHONDRS_S19S,S19S_0010_SED_INC-M,8/2/2019,9:51:00 AM,9:51:00 AM,7.42,7.38,7.38,7.39,21.1
WHONDRS_S19S,S19S_0010_SED_INC-M,8/2/2019,10:20:00 AM,10:20:00 AM,6.89,6.91,6.9,6.9,21.5
WHONDRS_S19S,S19S_0010_SED_INC-M,8/2/2019,10:51:00 AM,10:52:00 AM,6.42,6.4,6.43,6.42,20.9
WHONDRS_S19S,S19S_0010_SED_INC-U,8/2/2019,8:48:00 AM,8:48:00 AM,7.25,7.3,7.31,7.29,21.2
WHONDRS_S19S,S19S_0010_SED_INC-U,8/2/2019,9:03:00 AM,9:03:00 AM,4.14,4.33,4.45,4.31,21
WHONDRS_S19S,S19S_0010_SED_INC-U,8/2/2019,9:18:00 AM,9:18:00 AM,3.82,3.77,3.71,3.77,21.1
WHONDRS_S19S,S19S_0100_SED_INC-D,8/23/2019,9:47:00 AM,9:47:00 AM,7.72,7.71,7.64,7.69,21
WHONDRS_S19S,S19S_0100_SED_INC-D,8/23/2019,10:02:00 AM,10:02:00 AM,4.67,4.67,4.67,4.67,20.9
WHONDRS_S19S,S19S_0100_SED_INC-M,8/23/2019,9:43:00 AM,9:43:00 AM,7.83,7.84,7.88,7.85,21.1
WHONDRS_S19S,S19S_0100_SED_INC-M,8/23/2019,10:01:00 AM,10:01:00 AM,6.51,6.53,6.53,6.52,21.3
WHONDRS_S19S,S19S_0100_SED_INC-M,8/23/2019,10:15:00 AM,10:15:00 AM,5.95,6,6.01,5.99,21
WHONDRS_S19S,S19S_0100_SED_INC-M,8/23/2019,10:30:00 AM,10:30:00 AM,6.06,6.04,6,6.03,21.2
WHONDRS_S19S,S19S_0100_SED_INC-M,8/23/2019,10:45:00 AM,10:45:00 AM,4.69,4.71,4.73,4.71,20.9
WHONDRS_S19S,S19S_0100_SED_INC-U,8/23/2019,9:48:00 AM,9:48:00 AM,8.21,8.19,8.23,8.21,21.2
WHONDRS_S19S,S19S_0100_SED_INC-U,8/23/2019,10:00:00 AM,10:00:00 AM,7.9,7.93,7.94,7.92,21.3
WHONDRS_S19S,S19S_0100_SED_INC-U,8/23/2019,10:16:00 AM,7:30:00 AM,7.31,7.29,7.28,7.29,21.6
WHONDRS_S19S,S19S_0100_SED_INC-U,8/23/2019,10:34:00 AM,10:34:00 AM,7.05,7,6.99,7.01,21.3
WHONDRS_S19S,S19S_0100_SED_INC-U,8/23/2019,10:47:00 AM,10:48:00 AM,6.65,6.62,6.59,6.62,21.3
WHONDRS_S19S,S19S_0100_SED_INC-U,8/23/2019,11:11:00 AM,11:12:00 AM,6.07,6.08,6.09,6.08,21.2
WHONDRS_S19S,S19S_0100_SED_INC-U,8/23/2019,11:29:00 AM,11:30:00 AM,5.85,5.84,5.85,5.85,21.1
WHONDRS_S19S,S19S_0011_SED_INC-D,8/7/2019,8:30:00 AM,8:30:00 AM,6.32,6.21,6.06,6.2,21.1
WHONDRS_S19S,S19S_0011_SED_INC-D,8/7/2019,8:34:00 AM,8:34:00 AM,0.65,0.75,0.85,0.75,20.8
WHONDRS_S19S,S19S_0011_SED_INC-M,8/7/2019,8:31:00 AM,8:31:00 AM,1.23,1.11,0.99,1.11,21.4
WHONDRS_S19S,S19S_0011_SED_INC-U,8/7/2019,8:30:00 AM,8:31:00 AM,7.85,7.79,7.77,7.8,21.4
WHONDRS_S19S,S19S_0011_SED_INC-U,8/7/2019,8:38:00 AM,8:39:00 AM,6.96,6.96,6.96,6.96,21
WHONDRS_S19S,S19S_0011_SED_INC-U,8/7/2019,8:51:00 AM,8:52:00 AM,5.59,5.6,5.61,5.6,21
WHONDRS_S19S,S19S_0012_SED_INC-D,8/15/2019,10:36:00 AM,10:36:00 AM,8.54,8.55,8.58,8.56,21
WHONDRS_S19S,S19S_0012_SED_INC-D,8/15/2019,10:46:00 AM,10:46:00 AM,8.38,8.35,8.35,8.36,21.1
WHONDRS_S19S,S19S_0012_SED_INC-D,8/15/2019,11:00:00 AM,11:00:00 AM,7.12,7.17,7.25,7.18,21.1
WHONDRS_S19S,S19S_0012_SED_INC-D,8/15/2019,11:14:00 AM,11:14:00 AM,7.75,7.76,7.77,7.76,21.1
WHONDRS_S19S,S19S_0012_SED_INC-D,8/15/2019,11:44:00 AM,11:45:00 AM,7.09,7.09,7.1,7.09,21.2
WHONDRS_S19S,S19S_0012_SED_INC-D,8/15/2019,12:15:00 PM,12:15:00 PM,7.02,7.18,7.18,7.13,21
WHONDRS_S19S,S19S_0012_SED_INC-M,8/15/2019,8:48:00 AM,8:48:00 AM,8.87,8.85,8.83,8.85,21.4
WHONDRS_S19S,S19S_0012_SED_INC-M,8/15/2019,9:03:00 AM,9:03:00 AM,8.14,8.16,8.18,8.16,21.1
WHONDRS_S19S,S19S_0012_SED_INC-M,8/15/2019,9:21:00 AM,9:21:00 AM,7.61,7.62,7.62,7.62,21
WHONDRS_S19S,S19S_0012_SED_INC-M,8/15/2019,9:37:00 AM,9:38:00 AM,7.03,7.03,6.99,7.02,21.3
WHONDRS_S19S,S19S_0012_SED_INC-M,8/15/2019,9:47:00 AM,9:48:00 AM,6.71,6.68,6.67,6.69,21.4
WHONDRS_S19S,S19S_0012_SED_INC-M,8/15/2019,10:05:00 AM,10:05:00 AM,6.22,6.2,6.16,6.19,21.5
WHONDRS_S19S,S19S_0012_SED_INC-M,8/15/2019,10:47:00 AM,10:47:00 AM,4.98,4.98,5,4.99,21.6
WHONDRS_S19S,S19S_0012_SED_INC-U,8/15/2019,9:08:00 AM,9:08:00 AM,8.69,8.69,8.69,8.69,20.8
WHONDRS_S19S,S19S_0012_SED_INC-U,8/15/2019,9:24:00 AM,9:24:00 AM,8.59,8.54,8.55,8.56,21.1
WHONDRS_S19S,S19S_0012_SED_INC-U,8/15/2019,9:38:00 AM,9:38:00 AM,8.25,8.26,8.26,8.26,21.1
WHONDRS_S19S,S19S_0012_SED_INC-U,8/15/2019,9:51:00 AM,9:51:00 AM,8.14,8.1,8.1,8.11,21.1
WHONDRS_S19S,S19S_0012_SED_INC-U,8/15/2019,10:20:00 AM,10:20:00 AM,7.66,7.68,7.73,7.69,20.8
WHONDRS_S19S,S19S_0012_SED_INC-U,8/15/2019,10:57:00 AM,10:57:00 AM,7.26,7.22,7.21,7.23,21.3
WHONDRS_S19S,S19S_0013_SED_INC-D,8/22/2019,10:23:00 AM,10:24:00 AM,0.52,0.47,0.42,0.47,21.3
WHONDRS_S19S,S19S_0013_SED_INC-D,8/22/2019,10:25:00 AM,10:25:00 AM,0.02,0.02,0.03,0.02,21.4
WHONDRS_S19S,S19S_0013_SED_INC-M,8/22/2019,10:20:00 AM,10:20:00 AM,4.1,4.01,3.88,4,21
WHONDRS_S19S,S19S_0013_SED_INC-M,8/22/2019,10:21:00 AM,10:21:00 AM,3.45,3.34,3.23,3.34,21.3
WHONDRS_S19S,S19S_0013_SED_INC-U,8/22/2019,10:08:00 AM,10:08:00 AM,3.38,3.4,3.38,3.39,20.9
WHONDRS_S19S,S19S_0013_SED_INC-U,8/22/2019,10:09:00 AM,10:09:00 AM,2.95,2.86,2.8,2.87,21.1
WHONDRS_S19S,S19S_0014_SED_INC-D,8/22/2019,9:28:00 AM,9:29:00 AM,4.35,4.26,4.15,4.25,21.3
WHONDRS_S19S,S19S_0014_SED_INC-D,8/22/2019,9:30:00 AM,9:30:00 AM,2.57,2.51,2.46,2.51,21.5
WHONDRS_S19S,S19S_0014_SED_INC-M,8/22/2019,9:33:00 AM,9:33:00 AM,1.39,1.35,1.31,1.35,21.1
WHONDRS_S19S,S19S_0014_SED_INC-M,8/22/2019,9:34:00 AM,9:34:00 AM,1.18,1.13,1.09,1.13,21.4
WHONDRS_S19S,S19S_0014_SED_INC-U,8/22/2019,9:01:00 AM,9:01:00 AM,6.42,6.53,6.47,6.47,20.8
WHONDRS_S19S,S19S_0014_SED_INC-U,8/22/2019,9:18:00 AM,9:18:00 AM,2.85,2.76,2.68,2.76,21.2
WHONDRS_S19S,S19S_0014_SED_INC-U,8/22/2019,9:23:00 AM,9:23:00 AM,1.52,1.49,1.48,1.5,20.8
WHONDRS_S19S,S19S_0015_SED_INC-D,8/7/2019,10:39:00 AM,10:39:00 AM,8.33,8.31,8.36,8.33,21.1
WHONDRS_S19S,S19S_0015_SED_INC-D,8/7/2019,10:55:00 AM,10:55:00 AM,7.21,7.25,7.27,7.24,21
WHONDRS_S19S,S19S_0015_SED_INC-D,8/7/2019,11:10:00 AM,11:10:00 AM,6.12,6.15,6.15,6.14,20.9
WHONDRS_S19S,S19S_0015_SED_INC-D,8/7/2019,11:39:00 AM,11:39:00 AM,4.12,4.13,4.11,4.12,21.2
WHONDRS_S19S,S19S_0015_SED_INC-M,8/7/2019,10:41:00 AM,10:41:00 AM,8.51,8.52,8.54,8.52,21.1
WHONDRS_S19S,S19S_0015_SED_INC-M,8/7/2019,10:56:00 AM,10:56:00 AM,9.19,9.19,9.08,9.15,21.1
WHONDRS_S19S,S19S_0015_SED_INC-M,8/7/2019,11:11:00 AM,11:11:00 AM,9.04,9.01,9.06,9.04,21.1
WHONDRS_S19S,S19S_0015_SED_INC-M,8/7/2019,11:40:00 AM,11:40:00 AM,8.79,8.79,8.82,8.8,20.9
WHONDRS_S19S,S19S_0015_SED_INC-M,8/7/2019,12:06:00 PM,12:06:00 PM,8.33,8.28,8.26,8.29,21.1
WHONDRS_S19S,S19S_0015_SED_INC-M,8/7/2019,12:38:00 PM,12:38:00 PM,8,7.97,7.92,7.96,21.1
WHONDRS_S19S,S19S_0015_SED_INC-U,8/7/2019,10:39:00 AM,10:39:00 AM,8.41,8.4,8.4,8.4,21.3
WHONDRS_S19S,S19S_0015_SED_INC-U,8/7/2019,10:54:00 AM,10:54:00 AM,8.09,8.07,8.1,8.09,21.2
WHONDRS_S19S,S19S_0015_SED_INC-U,8/7/2019,11:07:00 AM,11:07:00 AM,7.27,7.23,7.19,7.23,21.4
WHONDRS_S19S,S19S_0015_SED_INC-U,8/7/2019,11:38:00 AM,11:38:00 AM,5.41,5.39,5.4,5.4,21.1
WHONDRS_S19S,S19S_0016_SED_INC-D,8/15/2019,7:54:00 AM,7:54:00 AM,8.46,8.53,8.49,8.49,20.9
WHONDRS_S19S,S19S_0016_SED_INC-D,8/15/2019,8:08:00 AM,8:08:00 AM,7.89,7.91,7.9,7.9,21
WHONDRS_S19S,S19S_0016_SED_INC-D,8/15/2019,8:22:00 AM,8:22:00 AM,6.96,7.02,7.02,7,20.9
WHONDRS_S19S,S19S_0016_SED_INC-D,8/15/2019,8:38:00 AM,8:38:00 AM,6.06,6.04,6.05,6.05,21
WHONDRS_S19S,S19S_0016_SED_INC-D,8/15/2019,9:12:00 AM,9:12:00 AM,4.94,4.94,4.92,4.93,20.8
WHONDRS_S19S,S19S_0016_SED_INC-M,8/15/2019,9:08:00 AM,9:08:00 AM,3.64,3.58,3.52,3.58,21.1
WHONDRS_S19S,S19S_0016_SED_INC-M,8/15/2019,9:09:00 AM,9:10:00 AM,1.7,1.66,1.62,1.66,21.2
WHONDRS_S19S,S19S_0016_SED_INC-U,8/15/2019,7:52:00 AM,7:52:00 AM,8.58,8.61,8.61,8.6,20.9
WHONDRS_S19S,S19S_0016_SED_INC-U,8/15/2019,8:06:00 AM,8:06:00 AM,6.96,6.99,6.99,6.98,21
WHONDRS_S19S,S19S_0016_SED_INC-U,8/15/2019,8:20:00 AM,8:20:00 AM,5.56,5.56,5.57,5.56,21.2
WHONDRS_S19S,S19S_0017_SED_INC-D,8/29/2019,8:52:00 AM,8:52:00 AM,8.24,8.2,8.22,8.22,21.1
WHONDRS_S19S,S19S_0017_SED_INC-D,8/29/2019,9:05:00 AM,9:05:00 AM,4.96,4.96,4.97,4.96,21
WHONDRS_S19S,S19S_0017_SED_INC-M,8/29/2019,9:11:00 AM,9:11:00 AM,8.59,8.57,8.51,8.56,21.4
WHONDRS_S19S,S19S_0017_SED_INC-M,8/29/2019,9:24:00 AM,9:24:00 AM,8.39,8.38,8.38,8.38,21.3
WHONDRS_S19S,S19S_0017_SED_INC-M,8/29/2019,9:39:00 AM,9:40:00 AM,8.08,8.1,8.08,8.09,21.1
WHONDRS_S19S,S19S_0017_SED_INC-M,8/29/2019,9:52:00 AM,9:52:00 AM,8.02,8.07,7.99,8.03,21.3
WHONDRS_S19S,S19S_0017_SED_INC-M,8/29/2019,10:22:00 AM,10:23:00 AM,7.51,7.53,7.54,7.53,21.2
WHONDRS_S19S,S19S_0017_SED_INC-M,8/29/2019,10:52:00 AM,10:53:00 AM,6.89,6.9,6.91,6.9,21
WHONDRS_S19S,S19S_0017_SED_INC-U,8/29/2019,9:14:00 AM,9:14:00 AM,8.02,8,8.04,8.02,21.2
WHONDRS_S19S,S19S_0017_SED_INC-U,8/29/2019,9:25:00 AM,9:25:00 AM,7.21,7.18,7.21,7.2,21.2
WHONDRS_S19S,S19S_0017_SED_INC-U,8/29/2019,9:38:00 AM,9:38:00 AM,6.12,6.13,6.12,6.12,21.1
WHONDRS_S19S,S19S_0017_SED_INC-U,8/29/2019,9:51:00 AM,9:51:00 AM,5.57,5.49,5.48,5.51,21.3
WHONDRS_S19S,S19S_0018_SED_INC-D,8/8/2019,9:46:00 AM,9:47:00 AM,8.38,8.38,8.35,8.37,21.1
WHONDRS_S19S,S19S_0018_SED_INC-D,8/8/2019,9:59:00 AM,10:00:00 AM,8.18,8.18,8.17,8.18,20.9
WHONDRS_S19S,S19S_0018_SED_INC-D,8/8/2019,10:14:00 AM,10:15:00 AM,11.98,11.71,12.22,11.97,20.9
WHONDRS_S19S,S19S_0018_SED_INC-D,8/8/2019,10:29:00 AM,10:30:00 AM,7.63,7.63,7.65,7.64,20.9
WHONDRS_S19S,S19S_0018_SED_INC-D,8/8/2019,10:40:00 AM,10:41:00 AM,7.43,7.43,7.43,7.43,21.3
WHONDRS_S19S,S19S_0018_SED_INC-D,8/8/2019,10:55:00 AM,10:55:00 AM,7.28,7.28,7.28,7.28,21
WHONDRS_S19S,S19S_0018_SED_INC-D,8/8/2019,11:16:00 AM,11:16:00 AM,6.89,6.9,6.9,6.9,21.2
WHONDRS_S19S,S19S_0018_SED_INC-D,8/8/2019,11:27:00 AM,11:27:00 AM,6.8,6.82,6.82,6.81,20.7
WHONDRS_S19S,S19S_0018_SED_INC-D,8/8/2019,11:43:00 AM,11:43:00 AM,6.59,6.6,6.6,6.6,20.7
WHONDRS_S19S,S19S_0018_SED_INC-M,8/8/2019,9:09:00 AM,9:09:00 AM,8.29,8.3,8.35,8.31,21.2
WHONDRS_S19S,S19S_0018_SED_INC-M,8/8/2019,9:19:00 AM,9:20:00 AM,8.18,8.17,8.18,8.18,21.5
WHONDRS_S19S,S19S_0018_SED_INC-M,8/8/2019,9:34:00 AM,9:34:00 AM,8.14,8.18,8.2,8.17,21.2
WHONDRS_S19S,S19S_0018_SED_INC-M,8/8/2019,10:10:00 AM,10:10:00 AM,7.88,7.92,7.9,7.9,21.1
WHONDRS_S19S,S19S_0018_SED_INC-M,8/8/2019,10:40:00 AM,10:41:00 AM,7.51,7.5,7.48,7.5,21.5
WHONDRS_S19S,S19S_0018_SED_INC-M,8/8/2019,11:10:00 AM,11:10:00 AM,7.46,7.49,7.52,7.49,20.8
WHONDRS_S19S,S19S_0018_SED_INC-U,8/8/2019,9:04:00 AM,9:04:00 AM,8.01,8.01,8.02,8.01,21.5
WHONDRS_S19S,S19S_0018_SED_INC-U,8/8/2019,9:18:00 AM,9:19:00 AM,7.15,7.2,7.19,7.18,21.4
WHONDRS_S19S,S19S_0018_SED_INC-U,8/8/2019,9:33:00 AM,9:33:00 AM,6.44,6.43,6.44,6.44,21.5
WHONDRS_S19S,S19S_0018_SED_INC-U,8/8/2019,10:09:00 AM,10:09:00 AM,4.92,4.81,4.75,4.83,21.5
WHONDRS_S19S,S19S_0019_SED_INC-D,8/22/2019,10:19:00 AM,10:19:00 AM,8.54,8.55,8.49,8.53,21.5
WHONDRS_S19S,S19S_0019_SED_INC-D,8/22/2019,10:45:00 AM,10:45:00 AM,7.77,7.76,7.8,7.78,21.2
WHONDRS_S19S,S19S_0019_SED_INC-D,8/22/2019,10:58:00 AM,10:58:00 AM,7.38,7.41,7.43,7.41,21.3
WHONDRS_S19S,S19S_0019_SED_INC-D,8/22/2019,11:12:00 AM,11:12:00 AM,7.08,7.08,7.09,7.08,21.3
WHONDRS_S19S,S19S_0019_SED_INC-D,8/22/2019,11:26:00 AM,11:26:00 AM,6.91,6.89,6.88,6.89,21.4
WHONDRS_S19S,S19S_0019_SED_INC-D,8/22/2019,11:42:00 AM,11:42:00 AM,6.41,6.4,6.42,6.41,21.3
WHONDRS_S19S,S19S_0019_SED_INC-D,8/22/2019,11:59:00 AM,11:59:00 AM,5.99,6,5.99,5.99,21.4
WHONDRS_S19S,S19S_0019_SED_INC-D,8/22/2019,12:28:00 PM,12:28:00 PM,5.43,5.42,5.4,5.42,21.5
WHONDRS_S19S,S19S_0019_SED_INC-M,8/22/2019,10:21:00 AM,10:22:00 AM,8.15,8.14,8.09,8.13,21.4
WHONDRS_S19S,S19S_0019_SED_INC-M,8/22/2019,10:43:00 AM,10:43:00 AM,2.75,2.77,2.78,2.77,21.2
WHONDRS_S19S,S19S_0019_SED_INC-M,8/22/2019,10:57:00 AM,10:58:00 AM,1.5,1.42,1.37,1.43,21.3
WHONDRS_S19S,S19S_0019_SED_INC-U,8/22/2019,10:05:00 AM,10:05:00 AM,8.43,8.44,8.45,8.44,21
WHONDRS_S19S,S19S_0019_SED_INC-U,8/22/2019,10:19:00 AM,10:19:00 AM,6.93,6.97,6.97,6.96,21.2
WHONDRS_S19S,S19S_0019_SED_INC-U,8/22/2019,10:37:00 AM,10:37:00 AM,6.18,6.17,6.17,6.17,21
WHONDRS_S19S,S19S_0019_SED_INC-U,8/22/2019,10:52:00 AM,10:52:00 AM,5.38,5.37,5.36,5.37,21.3
WHONDRS_S19S,S19S_0020_SED_INC-D,8/22/2019,10:01:00 AM,10:01:00 AM,8.56,8.54,8.55,8.55,20.9
WHONDRS_S19S,S19S_0020_SED_INC-D,8/22/2019,10:18:00 AM,10:18:00 AM,7.43,7.48,7.53,7.48,21
WHONDRS_S19S,S19S_0020_SED_INC-D,8/22/2019,10:36:00 AM,10:36:00 AM,7.03,7.04,7.04,7.04,21
WHONDRS_S19S,S19S_0020_SED_INC-D,8/22/2019,10:51:00 AM,10:51:00 AM,7.03,6.97,6.92,6.97,21.3
WHONDRS_S19S,S19S_0020_SED_INC-D,8/22/2019,11:20:00 AM,11:20:00 AM,6.09,6.07,6.07,6.08,20.9
WHONDRS_S19S,S19S_0020_SED_INC-D,8/22/2019,11:49:00 AM,11:49:00 AM,5.7,5.69,5.68,5.69,20.8
WHONDRS_S19S,S19S_0020_SED_INC-M,8/22/2019,10:07:00 AM,10:07:00 AM,5.04,5.01,4.89,4.98,21.2
WHONDRS_S19S,S19S_0020_SED_INC-M,8/22/2019,10:08:00 AM,10:08:00 AM,3.11,3.07,3,3.06,21.3
WHONDRS_S19S,S19S_0020_SED_INC-U,8/22/2019,9:51:00 AM,9:51:00 AM,8.35,8.35,8.31,8.34,21.2
WHONDRS_S19S,S19S_0020_SED_INC-U,8/22/2019,10:02:00 AM,10:02:00 AM,7.53,7.55,7.53,7.54,21.1
WHONDRS_S19S,S19S_0020_SED_INC-U,8/22/2019,10:16:00 AM,10:16:00 AM,6.34,6.34,6.38,6.35,21
WHONDRS_S19S,S19S_0020_SED_INC-U,8/22/2019,10:33:00 AM,10:33:00 AM,5.54,5.58,5.6,5.57,21.2
WHONDRS_S19S,S19S_0021_SED_INC-D,8/22/2019,8:57:00 AM,8:57:00 AM,1.55,1.55,1.43,1.51,21
WHONDRS_S19S,S19S_0021_SED_INC-D,8/22/2019,8:58:00 AM,8:58:00 AM,0.87,0.79,0.74,0.8,20.9
WHONDRS_S19S,S19S_0021_SED_INC-M,8/22/2019,8:54:00 AM,8:54:00 AM,8.45,8.39,8.37,8.4,21.2
WHONDRS_S19S,S19S_0021_SED_INC-M,8/22/2019,9:17:00 AM,9:17:00 AM,5.6,5.6,5.6,5.6,21
WHONDRS_S19S,S19S_0021_SED_INC-U,8/22/2019,9:01:00 AM,9:01:00 AM,7.04,7.03,6.96,7.01,21.2
WHONDRS_S19S,S19S_0021_SED_INC-U,8/22/2019,9:11:00 AM,9:11:00 AM,5.26,5.18,5.14,5.19,21.3
WHONDRS_S19S,S19S_0022_SED_INC-D,8/7/2019,10:37:00 AM,10:37:00 AM,8.5,8.51,8.47,8.49,21.3
WHONDRS_S19S,S19S_0022_SED_INC-D,8/7/2019,10:53:00 AM,10:53:00 AM,8.53,8.51,8.5,8.51,21.3
WHONDRS_S19S,S19S_0022_SED_INC-D,8/7/2019,11:08:00 AM,11:08:00 AM,8.54,8.55,8.53,8.54,21.2
WHONDRS_S19S,S19S_0022_SED_INC-D,8/7/2019,11:37:00 AM,11:38:00 AM,8.36,8.31,8.29,8.32,21.4
WHONDRS_S19S,S19S_0022_SED_INC-D,8/7/2019,12:03:00 PM,12:03:00 PM,8.2,8.17,8.11,8.16,21.5
WHONDRS_S19S,S19S_0022_SED_INC-D,8/7/2019,12:39:00 PM,12:39:00 PM,8.05,8.06,8.04,8.05,21.2
WHONDRS_S19S,S19S_0022_SED_INC-M,8/7/2019,10:37:00 AM,10:37:00 AM,8.71,8.87,8.71,8.76,20.9
