#Columns,4,,,
#Header_Rows,12,,,
Field_Name,Sample_Name,Material,Mean_Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment,Mean_Missing_Reps
N/A,CM_034_Sediment,Sediment,-1720.357,FALSE
N/A,CM_035_Sediment,Sediment,-2733.59,FALSE
N/A,CM_037_Sediment,Sediment,-7.006,FALSE
N/A,CM_038_Sediment,Sediment,-4.811,FALSE
N/A,CM_039_Sediment,Sediment,-10.896,FALSE
N/A,CM_040_Sediment,Sediment,-3520.902,FALSE
N/A,CM_041_Sediment,Sediment,-58.943,FALSE
N/A,CM_042_Sediment,Sediment,-9.825,FALSE
N/A,CM_043_Sediment,Sediment,-9999,TRUE
N/A,CM_044_Sediment,Sediment,-8.668,FALSE
N/A,CM_045_Sediment,Sediment,-1.919,FALSE
N/A,CM_046_Sediment,Sediment,-9.382,FALSE
N/A,CM_050_Sediment,Sediment,-10.221,FALSE
N/A,CM_051_Sediment,Sediment,-2.418,FALSE
N/A,CM_052_Sediment,Sediment,-5.214,FALSE
N/A,CM_056_Sediment,Sediment,-1.457,FALSE
N/A,CM_057_Sediment,Sediment,-1.16,FALSE
N/A,CM_058_Sediment,Sediment,-0.725,FALSE
N/A,CM_062_Sediment,Sediment,-2.941,FALSE
N/A,CM_063_Sediment,Sediment,-2.825,FALSE
N/A,CM_064_Sediment,Sediment,-26.405,FALSE
N/A,CM_066_Sediment,Sediment,-1.248,FALSE
N/A,CM_068_Sediment,Sediment,-314.089,FALSE
N/A,CM_069_Sediment,Sediment,-1780.386,FALSE
N/A,CM_070_Sediment,Sediment,-6.794,FALSE
N/A,CM_071_Sediment,Sediment,-271.17,FALSE
N/A,CM_072_Sediment,Sediment,-309.44,FALSE
N/A,CM_073_Sediment,Sediment,-4.132,FALSE
N/A,CM_074_Sediment,Sediment,-7.208,FALSE
N/A,CM_075_Sediment,Sediment,-55.35,FALSE
N/A,CM_076_Sediment,Sediment,-9.161,FALSE
N/A,CM_077_Sediment,Sediment,-6.652,FALSE
N/A,CM_078_Sediment,Sediment,-186.531,FALSE
N/A,CM_079_Sediment,Sediment,-75.926,FALSE
N/A,CM_080_Sediment,Sediment,-167.75,FALSE
N/A,CM_081_Sediment,Sediment,-19.613,FALSE
N/A,CM_082_Sediment,Sediment,-104.373,FALSE
N/A,CM_084_Sediment,Sediment,-11.696,FALSE
N/A,CM_085_Sediment,Sediment,-36.366,FALSE
N/A,CM_088_Sediment,Sediment,-17.478,FALSE
N/A,SSS001_Sediment,Sediment,-3288.026,FALSE
N/A,SSS002_Sediment,Sediment,-6.249,FALSE
N/A,SSS003_Sediment,Sediment,-45.489,FALSE
N/A,SSS004_Sediment,Sediment,-3092.549,FALSE
N/A,SSS005_Sediment,Sediment,-4.322,FALSE
N/A,SSS006_Sediment,Sediment,-69.062,FALSE
N/A,SSS007_Sediment,Sediment,-5.578,FALSE
N/A,SSS008_Sediment,Sediment,-3897.533,FALSE
N/A,SSS009_Sediment,Sediment,-2.446,FALSE
N/A,SSS010_Sediment,Sediment,-4.271,FALSE
N/A,SSS011_Sediment,Sediment,-10.807,FALSE
N/A,SSS012_Sediment,Sediment,-35.855,FALSE
N/A,SSS013_Sediment,Sediment,-14.071,FALSE
N/A,SSS014_Sediment,Sediment,-2737.676,FALSE
N/A,SSS015_Sediment,Sediment,-21.903,FALSE
N/A,SSS016_Sediment,Sediment,-104.069,TRUE
N/A,SSS017_Sediment,Sediment,-5.093,FALSE
N/A,SSS018_Sediment,Sediment,-3.191,FALSE
N/A,SSS019_Sediment,Sediment,-18.275,FALSE
N/A,SSS020_Sediment,Sediment,-73.578,FALSE
N/A,SSS021_Sediment,Sediment,-10.271,FALSE
N/A,SSS022_Sediment,Sediment,-3.157,FALSE
N/A,SSS023_Sediment,Sediment,-2621.036,FALSE
N/A,SSS024_Sediment,Sediment,-1846.265,FALSE
N/A,SSS025_Sediment,Sediment,-3624,FALSE
N/A,SSS026_Sediment,Sediment,-2820.696,FALSE
N/A,SSS027_Sediment,Sediment,-18.069,FALSE
N/A,SSS028_Sediment,Sediment,-17.948,FALSE
N/A,SSS029_Sediment,Sediment,-40.395,FALSE
N/A,SSS030_Sediment,Sediment,-12.102,FALSE
N/A,SSS031_Sediment,Sediment,-4.292,FALSE
N/A,SSS032_Sediment,Sediment,-3.58,FALSE
N/A,SSS033_Sediment,Sediment,-5.633,FALSE
N/A,SSS034_Sediment,Sediment,-4.148,FALSE
N/A,SSS035_Sediment,Sediment,-4.725,FALSE
N/A,SSS036_Sediment,Sediment,-49.013,FALSE
N/A,SSS037_Sediment,Sediment,-14.904,FALSE
N/A,SSS038_Sediment,Sediment,-11.92,FALSE
N/A,SSS039_Sediment,Sediment,-8.748,FALSE
N/A,SSS040_Sediment,Sediment,-6.755,FALSE
N/A,SSS041_Sediment,Sediment,-13.065,FALSE
N/A,SSS042_Sediment,Sediment,-4.704,FALSE
N/A,SSS043_Sediment,Sediment,-6.375,FALSE
N/A,SSS044_Sediment,Sediment,-7.109,FALSE
N/A,SSS045_Sediment,Sediment,-7.283,FALSE
N/A,SSS046_Sediment,Sediment,-31.147,FALSE
N/A,SSS047_Sediment,Sediment,-84.363,FALSE
N/A,SSS048_Sediment,Sediment,-9.722,FALSE
#End_Data,_Sediment,,,
