#Samples have International Geo Sample Numbers (IGSNs) registered with System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration). This file maps between sample names and IGSNs. It conforms to the ESS-DIVE Sample ID and Metadata Reporting Format (IGSN-ESS) v1.1.0 (Damerow et al. 2020). Some information may be repeated between the field metadata file and this file. Parent_IGSN is the IGSN for each site ID. The original site ID is listed in the Locality column.,,,,,,,,,,,,,,,,,,,,,,
Sample_Name,IGSN,Parent_IGSN,Material,Field_Name_Informal_Classification,Collection_Method,Collection_Method_Description,Comment,Latitude,Longitude,Primary_Physiographic_Feature,Physiographic_Feature_Name,Locality,Other_Names,Locality_Description,Country,State_or_Province,City_or_Township,Field_Program_Cruise,Collector_Chief_Scientist,Collection_Date,Related_URL,Related_URL_Type
CM_012_Water,10.58052/IEWDR01LR,10.58052/IEWDR01KL,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,42.7638,-73.3372,stream,Little Hoosic River,MP-162,N/A,In stream site,United States,New York,Petersburgh,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Kevin Ryan, 2022-08-21,https://whondrs.pnnl.gov,regular URL
CM_013_Water,10.58052/IEWDR01LS,10.58052/IEWDR01L6,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,41.3093,-83.1578,stream,Sandusky River,SP-1,Tindall Bridge,In stream site,United States,Ohio,Ballville,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Laura Johnson, 2022-07-11,https://whondrs.pnnl.gov,regular URL
CM_014_Water,10.58052/IEWDR01LT,10.58052/IEWDR01KO,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,35.3668,-77.4403,stream,Contentnea Creek,MP-645,N/A,In stream site,United States,North Carolina,Grifton,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Marcelo Ardon, 2022-06-13,https://whondrs.pnnl.gov,regular URL
CM_015_Water,10.58052/IEWDR01LU,10.58052/IEWDR01L3,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,39.4803,-106.0468,stream,Blue River,MP-3317,N/A,In stream site,United States,Colorado,Breckenridge,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Cam Anderson, 2022-06-06,https://whondrs.pnnl.gov,regular URL
CM_016_Water,10.58052/IEWDR01LV,10.58052/IEWDR01KR,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,43.4099,-83.965,stream,Saginaw River,MP-1425,Sagiw; MI,In stream site,United States,Michigan,Saginaw,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Matt Schrenk, 2022-07-18,https://whondrs.pnnl.gov,regular URL
CM_017_Water,10.58052/IEWDR01LW,10.58052/IEWDR01KT,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,45.5974,-110.566,stream,Yellowstone River,MP-1796,N/A,In stream site,United States,Montana,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Ann Burgess, 2022-11-14,https://whondrs.pnnl.gov,regular URL
CM_018_Water,10.58052/IEWDR01LX,10.58052/IEWDR01LB,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,41.3166,-102.126,stream,North Platte River,SP-2,North Platte River at Lewellen Bridge,In stream site,United States,Nebraska,Lewellen,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Melissa Wuellner, 2022-06-13,https://whondrs.pnnl.gov,regular URL
CM_020_Water,10.58052/IEWDR01LY,10.58052/IEWDR01LC,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,33.8277,-79.0449,stream,Waccamaw River,SP-4,Conway Mari,In stream site,United States,South Carolina,Conway,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Angelos Hannides, 2022-07-18,https://whondrs.pnnl.gov,regular URL
CM_021_Water,10.58052/IEWDR01LZ,10.58052/IEWDR01L7,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,32.3505,-111.0953,stream,Santa Cruz River,SP-10,Santa Cruz River at Cotaro Rd,In stream site,United States,Arizona,Tucson,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Christian Ayala, 2022-09-05,https://whondrs.pnnl.gov,regular URL
CM_022_Water,10.58052/IEWDR01M0,10.58052/IEWDR01LF,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,44.5505,-123.2497,stream,Willamette River,SP-8,Willamette River MS-10 Cor,In stream site,United States,Oregon,Corvallis,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Byron Crump, 2022-09-12,https://whondrs.pnnl.gov,regular URL
CM_023_Water,10.58052/IEWDR01M1,10.58052/IEWDR01LG,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,44.556,-123.2769,stream,Marys River,SP-9,MR01 Marys River,In stream site,United States,Oregon,Corvallis,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Byron Crump, 2022-09-12,https://whondrs.pnnl.gov,regular URL
CM_024_Water,10.58052/IEWDR01M2,10.58052/IEWDR01LD,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,33.684,-84.4153,stream,South River,SP-5,SR24,In stream site,United States,Georgia,Athens,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Shuo Chen, 2022-08-01,https://whondrs.pnnl.gov,regular URL
CM_027_Water,10.58052/IEWDR01M3,10.58052/IEWDR01KU,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,29.3338,-95.2832,stream,Chocolate Bayou,MP-2179,Chocolate Bayou Public Boat Ramp,In stream site,United States,Texas,Liverpool,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Bayani Cardenas, 2022-07-11,https://whondrs.pnnl.gov,regular URL
CM_028_Water,10.58052/IEWDR01M4,10.58052/IEWDR01KW,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,28.8318,-96.5783,stream,Lavaca River/Estuary,MP-2197,Lavaca River across boat ramp,In stream site,United States,Texas,Lolita,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Bayani Cardenas, 2022-07-11,https://whondrs.pnnl.gov,regular URL
CM_032_Water,10.58052/IEWDR01M5,10.58052/IEWDR01KS,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,46.804,-96.798,stream,Red River of the North,MP-1481,N/A,In stream site,United States,North Dakota,Fargo,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Bernhardt Saini-Eidukat, 2022-10-03,https://whondrs.pnnl.gov,regular URL
CM_033_Water,10.58052/IEWDR01M6,10.58052/IEWDR01L8,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,32.4713,-111.3042,stream,Santa Cruz River,SP-13,Santa Cruz River at Trico Rd,In stream site,United States,Arizona,Tucson,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Viviana Freire, 2022-09-05,https://whondrs.pnnl.gov,regular URL
CM_034_Water,10.58052/IEWDR01M7,10.58052/IEWDR01L9,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,46.4979,-84.3742,stream,St. Marys River,SP-14,Ashmun Bay,In stream site,United States,Michigan,Sault Sainte Marie; MI,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Ashley Moerke, 2022-08-30,https://whondrs.pnnl.gov,regular URL
CM_035_Water,10.58052/IEWDR01M8,10.58052/IEWDR01LE,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,45.0844,-92.7856,stream,St. Croix,SP-6,St. Croix Boom Site,In stream site,United States,Minnesota,Stillwater,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Cara Santelli, 2022-10-17,https://whondrs.pnnl.gov,regular URL
CM_037_Water,10.58052/IEWDR01M9,10.58052/IEWDR01L0,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,41.3825,-72.8972,stream,Mill River,MP-2865,N/A,In stream site,United States,Connecticut,North Haven,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Derrick Vaughn, 2022-10-31,https://whondrs.pnnl.gov,regular URL
CM_038_Water,10.58052/IEWDR01MA,10.58052/IEWDR01KJ,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,41.5236,-72.2067,stream,Yantic River,MP-55,N/A,In stream site,United States,Connecticut,Norwich,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Derrick Vaughn, 2022-10-31,https://whondrs.pnnl.gov,regular URL
CM_039_Water,10.58052/IEWDR01MB,10.58052/IEWDR01KV,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,30.2457,-97.6915,stream,Lower Colorado River,MP-2194,Lower Colorado River Hwy183 Bridge,In stream site,United States,Texas,Austin,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Bayani Cardenas, 2022-10-24,https://whondrs.pnnl.gov,regular URL
CM_040_Water,10.58052/IEWDR01MC,10.58052/IEWDR01LA,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,30.4384,-91.1912,stream,Mississippi River,SP-15,N/A,In stream site,United States,Louisiana,Baton Rouge,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Yi-Jun Xu, 2022-10-16,https://whondrs.pnnl.gov,regular URL
CM_041_Water,10.58052/IEWDR01MD,10.58052/IEWDR01KP,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,37.3724,-80.8599,stream,New River,MP-1110,N/A,In stream site,United States,Virginia,Glen Lyn,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Ryan Stewart, 2022-10-10,https://whondrs.pnnl.gov,regular URL
CM_042_Water,10.58052/IEWDR01ME,10.58052/IEWDR01L5,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,37.0422,-80.5627,stream,Little River,MP-11342,N/A,In stream site,United States,Virginia,Snowville,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Ryan Stewart, 2022-10-10,https://whondrs.pnnl.gov,regular URL
CM_062_Water,10.58052/IEWDR01MF,10.58052/IEWDR01KH,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,43.0881,-71.2346,stream,Lamprey River,MP-18,LMP19,In stream site,United States,New Hampshire,Deerfield,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),William McDowell, 2022-11-14,https://whondrs.pnnl.gov,regular URL
CM_063_Water,10.58052/IEWDR01MG,10.58052/IEWDR01KI,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,43.0795,-71.0359,stream,North River,MP-19,NOR27,In stream site,United States,New Hampshire,Epping,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),William McDowell, 2022-11-14,https://whondrs.pnnl.gov,regular URL
SSS001_Water,10.58052/IEWDR01MH,10.58052/IEPRS008O,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.0417,-120.5731,stream,Satus Creek,S63,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-08,https://whondrs.pnnl.gov,regular URL
SSS002_Water,10.58052/IEWDR01MI,10.58052/IEPRS008C,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.0959,-120.5476,stream,Satus Creek,S30R,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-08,https://whondrs.pnnl.gov,regular URL
SSS003_Water,10.58052/IEWDR01MJ,10.58052/IEPRS008D,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.2059,-120.4811,stream,Logy Creek,S31,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-08,https://whondrs.pnnl.gov,regular URL
SSS004_Water,10.58052/IEWDR01MK,10.58052/IEPRS008M,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.6659,-120.8161,stream,South Fork Cowiche Creek,S55N,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-09,https://whondrs.pnnl.gov,regular URL
SSS005_Water,10.58052/IEWDR01ML,10.58052/IEPRS00UH,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.5814,-120.4612,stream,Yakima River,S57,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-09,https://whondrs.pnnl.gov,regular URL
SSS006_Water,10.58052/IEWDR01MM,10.58052/IEPRS008N,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.6218,-120.6206,stream,Cowiche Creek,S56N,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-09,https://whondrs.pnnl.gov,regular URL
SSS007_Water,10.58052/IEWDR01MN,10.58052/IEPRS00UF,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.6646,-121.1237,stream,Wildcat Creek,S53,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-10,https://whondrs.pnnl.gov,regular URL
SSS008_Water,10.58052/IEWDR01MO,10.58052/IEPRS00UE,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.6592,-121.0893,stream,Milk Creek,S52,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-10,https://whondrs.pnnl.gov,regular URL
SSS009_Water,10.58052/IEWDR01MP,10.58052/IEPRS00UA,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.6168,-121.1511,stream,South Fork Tieton River,S45,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-10,https://whondrs.pnnl.gov,regular URL
