Sample_Name,Date,Median_Time_Unix,Median_Time_Local,Time_Zone,Mean_Dissolved_Oxygen,Dissolved_Oxygen_sd,Mean_Dissolved_Oxygen_Saturation,Dissolved_Oxygen_Saturation_sd,Mean_Temperature,Temperature_sd
SSS038, 2022-08-08,1659989670,12:14:30,Pacific Standard Time (UTC-8),5.21,0.02,51.85,0.22,15.2,0.02
SSS039, 2022-08-08,1659995670,13:54:30,Pacific Standard Time (UTC-8),8.88,0.06,94.38,0.94,18.3,0.24
SSS040, 2022-08-09,1660063590,8:46:30,Pacific Standard Time (UTC-8),10.21,0.02,94.49,0.15,11.9,0.04
SSS041, 2022-08-09,1660070190,10:36:30,Pacific Standard Time (UTC-8),10.01,0.03,96.8,0.2,13.86,0.13
SSS042, 2022-08-09,1660078410,12:53:30,Pacific Standard Time (UTC-8),9.93,0.09,100.42,0.93,15.94,0.03
SSS043, 2022-08-10,1660147050,7:57:30,Pacific Standard Time (UTC-8),8.38,0.03,85.33,0.42,16.25,0.08
SSS044, 2022-08-10,1660156830,10:40:30,Pacific Standard Time (UTC-8),8.87,0.03,91.89,0.21,17.03,0.26
SSS045, 2022-08-10,1660163460,12:31:00,Pacific Standard Time (UTC-8),9.46,0.03,93.66,0.14,14.91,0.12
SSS046, 2022-08-11,1660233150,7:52:30,Pacific Standard Time (UTC-8),8.71,0.06,91.29,0.84,17.61,0.11
SSS047, 2022-08-11,1660241070,10:04:30,Pacific Standard Time (UTC-8),9.39,0.02,90.71,0.25,13.78,0.02
SSS048, 2022-08-11,1660251210,12:53:30,Pacific Standard Time (UTC-8),8.56,0.04,97.34,0.08,21.68,0.29
