Method_Name,Method_ID,Method_Type,Method_Description,Method_Instrument,Method_Lab
INC_Vial_Break_Method,VB_INC_001,MethodID_Inspection,Incubation vial broken. Not able to calculate dry weight or water weight.,N/A,Pacific Northwest National Laboratory (PNNL)
INC_Vial_Inspection_Method,VI_INC_001,MethodID_Inspection,Sediment was not collected.,N/A,Pacific Northwest National Laboratory (PNNL)
INC_Vial_Inspection_Method,VI_INC_002,MethodID_Inspection,Kit arrived to lab over holiday and was not incubated.,N/A,Pacific Northwest National Laboratory (PNNL)
NPOC_Typical,NPOC_T_IN_005,MethodID_Inspection,Vials were intact and filled to appropriate levels.,N/A,Pacific Northwest National Laboratory (PNNL) – Sequim/Richland
NPOC_Typical,NPOC_T_ST_005,MethodID_Storage,Vials were placed on blue ice after collection and then stored at 4 degC (refrigerator) until they were transferred or shipped to PNNL-Sequim/Richland Campus. Vials were placed under blue ice while in transit. At PNNL-Sequim/Richland Campus they were stored at 4 degC.,N/A,Pacific Northwest National Laboratory (PNNL) – Sequim/Richland
NPOC_Typical,NPOC_T_PRES_005,MethodID_Preservation,Samples were filtered in the field to 0.22 microns and kept at 4 degC until analysis for no longer than 14 days.,N/A,Pacific Northwest National Laboratory (PNNL) – Sequim/Richland
NPOC_Typical,NPOC_T_PREP_005,MethodID_Preparation,Samples were brought to room temperature before analysis. Samples were diluted if concentrations were anticipated to be too high for instrument responses.,N/A,Pacific Northwest National Laboratory (PNNL) – Sequim/Richland
NPOC_Typical,NPOC_T_AN_005,MethodID_Analysis,Online acidification with 8 percent hydrochloric acid; sparge time for 2 minutes and 30 seconds; 3 washes of the syringe; Injection volume: 150 microliters; Furnace temperature: 720 degC; potassium hydrogen phthalate standard with concentration ranges 0-30 milligrams_per_liter; standards made within 7 days of run and kept at 4 degC between runs; Best 3 of 5 injections; Accepted deviation up to 0.1 milligrams_per_liter or 2 percent coefficient of variation.,Shimadzu TOC-L with a TNM-L,Pacific Northwest National Laboratory (PNNL) – Sequim/Richland
NPOC_Typical,NPOC_T_DP_005,MethodID_DataProcessing,Manually checked data and calibration curves prior to uploading data. Raw data was processed through a data evaluation script that flagged samples below limit of detection and outside of the standard curve. The coefficient of variation (CV) was calculated among replicates; samples were flagged if CV was outside a given threshold. The flags indicate the limits of detection and CV where applicable.,N/A,Pacific Northwest National Laboratory (PNNL)
OCN_Vial_Break_Method,VB_OCN_001,MethodID_Inspection,Non-purgeable organic carbon (NPOC)/total nitrogen (TN) vial broke. Sample lost.,N/A,Pacific Northwest National Laboratory (PNNL)
OCN_Vial_Inspection_Method,VI_OCN_003,MethodID_Inspection,Non-purgeable organic carbon (NPOC)/total nitrogen (TN) vial underfilled.,N/A,Pacific Northwest National Laboratory (PNNL)
OCN_Vial_Inspection_Method,VI_OCN_004,MethodID_Inspection,Non-purgeable organic carbon (NPOC)/total nitrogen (TN) sample not collected.,N/A,Pacific Northwest National Laboratory (PNNL)
RATE_Method_QA_QC,RATE_000,MethodID_DataProcessing,A theoretical respiration rate was calculated and used in place of a measured value because the dissolved oxygen at time zero was lower than 5 milligrams_per_liter. This theoretical rate is calculated assuming that we start at 100 percent dissolved oxygen saturation conditions (set at 8.5 milligrams_per_liter for the laboratory pressure and temperature). Rates are calculated assuming that it takes 30 seconds to go from 8.5 milligrams_per_liter  to the measured dissolved oxygen value at time zero. ,N/A,Pacific Northwest National Laboratory (PNNL)
RATE_Method_QA_QC,RATE_001,MethodID_DataProcessing,A theoretical respiration rate was calculated and used in place of a measured value (rather than a measured rate) although the sample did not meet the standard criteria for deciding when to calculate a theoretical rate versus using a measured value (see description for RATE_000). A theoretical rate was used here due to the other 2 (out of the 3) replicates meeting the criteria. (With this replacement) all replicates for this set of replicates are calculated theoretical rates. ,N/A,Pacific Northwest National Laboratory (PNNL)
RATE_Method_QA_QC,RATE_002,MethodID_DataProcessing,Respiration rate was removed because it met the criteria for a calculated theoretical rate (see description for RATE_000) but the other 2 replicates (out of 3) did not. A theoretical rate was eliminated from the data if 2 out of the 3 replicates had measured respiration rates.,N/A,Pacific Northwest National Laboratory (PNNL)
SFE_Acidification_Method,SFE_ACID_001,MethodID_Preservation,Vial for sediment Fe measurement was not properly acidified.,N/A,Pacific Northwest National Laboratory (PNNL)
SFE_Deviation,SFE_001,MethodID_Analysis,Sample was incubated with 2.5 milliliters of sediment instead of 10 milliliters of sediment.,N/A,Pacific Northwest National Laboratory (PNNL)
SFE_RERUN,SFE_RERUN_001,MethodID_Analysis,Sample was re-run because it fell outside of the calibration curve. A 2-times (2x) dilution (70 microliters of reacted sample plus 70 microliters of 0.5 molar hydrochloric acid) was made to achieve total volume of 140 microliters.,N/A,Pacific Northwest National Laboratory (PNNL)
SFE_RERUN,SFE_RERUN_002,MethodID_Analysis,Sample was re-run with 5 additional analytical replicates because coefficient of variation was greater than 10 percent and range of concentration was greater than 0.04 milligrams_Fe_per_liter. At least 3 and up to 8 analytical replicates were used to obtain a coefficient of variation less than 10 percent or a range less than 0.04 milligrams_Fe_per_liter. -9999 indicates that sample value was removed because it was most unlike other replicates.,N/A,Pacific Northwest National Laboratory (PNNL)
SFE_Vial_Break_Method,VB_SFE_001,MethodID_Inspection,Vial broken. Not able to subsample for iron (II) analysis.,N/A,Pacific Northwest National Laboratory (PNNL)
SFE_Vial_Inspection_Method,VI_SFE_001,MethodID_Inspection,Sediment was not collected.,N/A,Pacific Northwest National Laboratory (PNNL)
SFE_Vial_Inspection_Method,VI_SFE_002,MethodID_Inspection,Kit arrived to lab over holiday and Fe (II) analysis could not be completed.,N/A,Pacific Northwest National Laboratory (PNNL)
TN_Method_QA_QC,TN_CV_030,MethodID_DataProcessing,Total nitrogen coefficient of variation (CV) was higher than the set threshold.,N/A,Pacific Northwest National Laboratory (PNNL)
TN_RERUN,TNRERUN_003,MethodID_Analysis,Sample was re-run because it fell outside of the calibration curve. An additional dilution was made from the leftover sample from the first run.,N/A,Pacific Northwest National Laboratory (PNNL)
TN_Typical,TN_T_IN_005,MethodID_Inspection,Vials were intact and filled to appropriate levels.,N/A,Pacific Northwest National Laboratory (PNNL) – Sequim/Richland
TN_Typical,TN_T_ST_005,MethodID_Storage,Vials were placed on blue ice after collection and then stored at 4 degC (refrigerator) until they were transferred or shipped to PNNL – Sequim Campus. Vials were placed under blue ice while in transit. At PNNL–  Sequim Campus they were stored at 4 degC.,N/A,Pacific Northwest National Laboratory (PNNL) – Sequim/Richland
TN_Typical,TN_T_PRES_005,MethodID_Preservation,Samples were filtered in the field to 0.22 microns and kept at 4 degC until analysis for no longer than 14 days.,N/A,Pacific Northwest National Laboratory (PNNL) – Sequim/Richland
TN_Typical,TN_T_PREP_005,MethodID_Preparation,Samples were brought to room temperature before analysis. Samples were diluted if concentrations were anticipated to be too high for instrument responses.,N/A,Pacific Northwest National Laboratory (PNNL) – Sequim/Richland
TN_Typical,TN_T_AN_005,MethodID_Analysis,Sparge time for 2 minutes and 30 seconds; 3 washes of the syringe; Injection volume: 150 microliters; Furnace temperature: 720 degC; potassium nitrate standard with concentration ranges 0-3 milligrams_per_liter; standards made within 7 days of run and kept at 4 degC between runs; Best 3 of 5 injections; Accepted deviation up to 0.1 milligrams_per_liter or 2 percent coefficient of variation.,Shimdazu TOC-L with TNM-L,Pacific Northwest National Laboratory (PNNL) – Sequim/Richland
TN_Typical,TN_T_DP_005,MethodID_DataProcessing,Manually checked data and calibration curves prior to uploading data. Raw data was processed through a data evaluation script that flagged samples below limit of detection and outside of the standard curve. The coefficient of variation (CV) was calculated among replicates; samples were flagged if CV was outside a given threshold. The flags indicate the limits of detection and CV where applicable.,N/A,Pacific Northwest National Laboratory (PNNL) – Sequim/Richland
