Column_or_Row_Name,Unit,Definition,Data_Type,Term_Type
Mean_00602_TN_mg_per_L_as_N,milligrams_per_liter,"Mean dissolved nitrogen [nitrate + nitrite + ammonia + organic-N] reported as nitrogen. 5-digit prefix refers to a US Geological Survey parameter code. For each sampling event (e.g. CM_005_Water); the TN values of each of the three biological replicates (e.g.CM_005_TN-1; CM_005_TN-2; CMC_005_TN-3) are averaged. Any replicate values that were identified as an outlier or were above/below the limit of detection are not included in the mean. Outliers were identified using distance based outlier detection. If the set of replicates had a coefficient of variation of 30 percent or higher; the outlier was identified by calculating the distance between each of the replicates. The replicate with the highest distance to the other two replicates was flagged as an outlier. The ""Mean_Missing_Reps"" column indicates if a mean does not include all three replicates using a TRUE/FALSE flag where TRUE indicates one or more replicates are missing from the mean.",numeric,column_header
Mean_00681_NPOC_mg_per_L_as_C,milligrams_per_liter,"Mean dissolved organic carbon data measured as non-purgeable organic carbon (NPOC) and reported as carbon. 5-digit prefix refers to a US Geological Survey parameter code. For each sampling event (e.g. CM_005_Water); the NPOC values of each of the three biological replicates (e.g. CM_005_OCN-1; CM_005_OCN-2; CM_005_OCN-3) are averaged. Any replicate values that were identified as an outlier or were above/below the limit of detection are not included in the mean. Outliers were identified using distance based outlier detection. If the set of replicates had a coefficient of variation of 30 percent or higher; the outlier was identified by calculating the distance between each of the replicates. The replicate with the highest distance to the other two replicates was flagged as an outlier. The ""Mean_Missing_Reps"" column indicates if a mean does not include all three replicates using a TRUE/FALSE flag where TRUE indicates one or more replicates are missing from the mean.",numeric,column_header
Mean_Dissolved_Oxygen,milligrams_per_liter,Mean dissolved oxygen (DO) in milligrams per liter measured during in situ sensor deployment. This calculation excludes the first 20 minutes and last 5 minutes inside the water to account for the equilibration time of the instrument for the CM Data. SSS data are trimmed to the average time of equilibrated CM data. The dissolved oxygen data also includes an offset for instrument calibration.,numeric,column_header
Mean_Dissolved_Oxygen_Saturation,percent,Mean dissolved oxygen (DO) in percent saturation measured during in situ sensor deployment. This calculation excludes the first 20 minutes and last 5 minutes inside the water to account for the equilibration time of the instrument for the CM Data. SSS data are trimmed to the average time of equilibrated CM data. The dissolved oxygen data also includes an offset for instrument calibration. ,numeric,column_header
Mean_Fe_mg_per_kg,milligrams_per_kilogram,"Mean iron (II) data in milligrams per kilogram. For each sampling event (e.g. CM_005_Sediment); the iron (Fe) values of each of the three biological replicates and their analytical replicates are averaged (e.g. CM_005_SFE-1a; CM_005_SFE-1b; CM_005_SFE-1c; CM_005_SFE-2a; CM_005_SFE-2b; CM_005_SFE-2c; CM_005_SFE-3a; CM_005_SFE-3b; CM_005_SFE-3c). The ""Mean_Missing_Reps"" column indicates if a mean does not include all replicates using a TRUE/FALSE flag where TRUE indicates one or more replicates are missing from the mean.",numeric,column_header
Mean_Fe_mg_per_L,milligrams_per_liter,"Mean iron (II) data in milligrams per liter. For each sampling event (e.g. CM_005_Sediment); the iron (Fe) values of each of the three biological replicates and their analytical replicates are averaged (e.g. CM_005_SFE-1a; CM_005_SFE-1b; CM_005_SFE-1c; CM_005_SFE-2a; CM_005_SFE-2b; CM_005_SFE-2c; CM_005_SFE-3a; CM_005_SFE-3b; CM_005_SFE-3c). The ""Mean_Missing_Reps"" column indicates if a mean does not include all replicates using a TRUE/FALSE flag where TRUE indicates one or more replicates are missing from the mean.",numeric,column_header
Mean_Missing_Reps,N/A,Indication of whether all replicates (reps) are included in the calculation of the mean (with a FALSE flag) or all replicates are not included (with a TRUE flag).,text,column_header
Mean_Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment,milligrams_per_hour_per_liter_sediment,Mean respiration rate normalized to volume of sediment. Variation between replicates is due to heterogeniety in samples. Therefore no outliers were removed from the mean. The calculation used to produce some of these data (theoretical respiration rates) includes assumptions that the project team has decided are appropriate; but the user should decide if using this data is appropriate for their analysis. See methods deviation codes for more detail.,numeric,column_header
Mean_Respiration_Rate_mg_DO_per_L_per_H,milligrams_per_liter_per_hour,Mean respiration rate. The slope of the linear regression with time on the x-axis and dissolved oxygen on the y-axis. Variation between replicates is due to heterogeniety in samples. Therefore no outliers were removed from the mean. The calculation used to produce some of these data (theoretical respiration rates) includes assumptions that the project team has decided are appropriate; but the user should decide if using this data is appropriate for their analysis. See methods deviation codes for more detail.,numeric,column_header
Mean_Temperature,degrees_Celsius,Mean water temperature from dissolved oxygen (DO) sensor (miniDOT) in degrees Celsius measured during in situ sensor deployment. This calculation excludes the first 20 minutes and last 5 minutes inside the water to account for the equilibration time of the instrument for the CM Data. SSS data are trimmed to the average time of equilibrated CM data.,numeric,column_header
Median_Time_Local,hh:mm,Median time (mid point) of sensor deployment time in the local time zone. The calculation of the midpoint excludes the first 20 minutes and last 5 minutes inside the water to account for the equilibration time of the instrument.,time,column_header
Median_Time_Unix,Unix,Median time (mid point) of sensor deployment time in Unix time. The calculation of the midpoint excludes the first 20 minutes and last 5 minutes inside the water to account for the equilibration time of the instrument.,time,column_header
Method_Description,N/A,Description of method code.,text,column_header
Method_ID,N/A,Alphanumeric ID associated with method code.,text,column_header
Method_Instrument,N/A,Instrument used in method code.,text,column_header
Method_Lab,N/A,Laboratory in which methods were completed.,text,column_header
Method_Name,N/A,Name of method code category.,text,column_header
Method_Type,N/A,Type of method.,text,column_header
MethodID_Analysis,N/A,Method code defining information about analysis of the samples that led to the data presented in the column.,text,row_header
MethodID_DataProcessing,N/A,Method code defining information about data processing that led to the data presented in the column.,text,row_header
MethodID_Inspection,N/A,Method code defining information about inspection of the samples that led to the data presented in the column.,text,row_header
MethodID_Preparation,N/A,Method code defining information about preparation of the samples that led to the data presented in the column.,text,row_header
MethodID_Preservation,N/A,Method code defining information about preservation of the samples that led to the data presented in the column.,text,row_header
MethodID_Storage,N/A,Method code defining information about storage of the samples that led to the data presented in the column.,text,row_header
Methods_Deviation,N/A,Deviations from the methods codes listed in the header rows. If a row has a methods deviation; it indicates that the sample from that row uses the methods indicated in the deviations column when they conflict with the methods written in the header rows above (MethodID_*).,text,column_header
miniDOT_Date,YYYY-MM-DD,Date of miniDOT deployment.,date,column_header
miniDOT_End_Time,hh:mm; Timezone,The time the miniDOT was removed from the water.,time,column_header
miniDOT_Latitude,decimal_degrees_WGS84,Geographic location (latitude) of miniDOT sensor deployment.,numeric,column_header
miniDOT_Longitude,decimal_degrees_WGS84,Geographic location (longitude) of miniDOT sensor deployment.,numeric,column_header
miniDOT_Notes,N/A,Free form notes about the miniDOT.,text,column_header
miniDOT_SN,N/A,miniDOT serial number.,numeric,column_header
miniDOT_Start_Time,hh:mm; Timezone,The time the miniDOT was deployed in the water.,time,column_header
Missing_Value_Codes,N/A,Missing value codes.,numeric,column_header
Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment,milligrams_dissolved_oxygen_per_hour_per_liter_sediment,Respiration rate normalized to volume of sediment.  The calculation used to produce some of these data (theoretical respiration rates) includes assumptions that the project team has decided are appropriate; but the user should decide if using this data is appropriate for their analysis. See methods deviation codes for more detail.,numeric,column_header
Notes,N/A,Free text field to record notes related to the site visit; including weather; site disturbance; or other information relevant to the quality of data collected.,text,column_header
Number_Points_In_Respiration_Regression,N/A,Number of data points included in the respiration regression. See CM_SSS_Methods_Codes.csv for more details.,numeric,column_header
Number_Points_Removed_Respiration_Regression,N/A,Number of data points removed from the respiration regression. See CM_SSS_Methods_Codes.csv for more details.,numeric,column_header
Organization,N/A,Organization/Institution associated with site.,text,column_header
Other_Names,N/A,Other names used for the site.,text,column_header
Parent_ID,N/A,The ID associated with the entire kit of supplies and data used by the collaborator to collect data.,text,column_header
Parent_IGSN,N/A,The IGSN for each site ID.,text,column_header
Percent_Clay,percent,Percent clay (calculated using 1.5 hour and 24 hour hydrometer readings). 5-digit prefix typically refers to a US Geological Survey (USGS) parameter code in the column headers of this data package. ,numeric,column_header
Percent_Coarse_Sand,percent,Percent coarse sand (less than 2000 micrometers and greater than 500 micrometers). 5-digit prefix typically refers to a US Geological Survey (USGS) parameter code in the column headers of this data package.,numeric,column_header
Percent_Fine_Sand,percent,Percent fine sand (less than 250 micrometers and greater than 53 micrometers). 5-digit prefix typically refers to a US Geological Survey (USGS) parameter code in the column headers of this data package.,numeric,column_header
Percent_Med_Sand,percent,Percent medium sand (less than 500 micrometers and greater than 250 micrometers). 5-digit prefix typically refers to a US Geological Survey (USGS) parameter code in the column headers of this data package.,numeric,column_header
Percent_Silt,percent,Percent silt (calculated as 100 - (percent sand + percent clay)). 5-digit prefix typically refers to a US Geological Survey (USGS) parameter code in the column headers of this data package. ,numeric,column_header
Percent_Tot_Sand,percent,Percent total sand (calculated from sum of fine; medium; and coarse sand). 5-digit prefix typically refers to a US Geological Survey (USGS) parameter code in the column headers of this data package.,numeric,column_header
pH,pH,pH.,numeric,column_header
Physiographic_Feature_Name,N/A,Name of the physiographic feature (stream).,text,column_header
Primary_Physiographic_Feature,N/A,Type of physical feature that sample was collected from using suggested vocabulary from System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration) system. Controlled vocabulary from SESAR.).,text,column_header
Related_URL,N/A,Related URL associated with the samples.,text,column_header
Related_URL_Type,N/A,Type of URL associated with the samples.,text,column_header
Respiration_p_value,N/A,P value of respiration regression.,numeric,column_header
Respiration_R_Squared,milligrams_per_liter_per_hour,R-squared of respiration regression.,numeric,column_header
Respiration_R_Squared_Adj,milligrams_per_liter_per_hour,Adjusted R-squared of respiration regression.,numeric,column_header
Respiration_Rate_mg_DO_per_L_per_H,milligrams_per_liter_per_hour,Respiration rate. The slope of the linear regression with time on the x-axis and dissolved oxygen on the y-axis. The calculation used to produce some of these data (theoretical respiration rates) includes assumptions that the project team has decided are appropriate; but the user should decide if using this data is appropriate for their analysis. See methods deviation codes for more detail.,numeric,column_header
River_Gradient,N/A,General gradient of river. One of the following classes may be selected: relatively flat/gentle gradient (e.g.; valleys) or relatively steep gradient (e.g.; mountainous or hilly terrain).,text,column_header
Sample_Date,YYYY-MM-DD,Date of sample collection.,date,column_header
Sample_Latitude,decimal_degrees_WGS84,Geographic location (latitude) of sampling.,numeric,column_header
Sample_Longitude,decimal_degrees_WGS84,Geographic location (longitude) of sampling.,numeric,column_header
Sample_Name,N/A,Name of sample. If the sample name includes the material (i.e. CM_005_Water); the row is referring to all of samples of that analysis of a given material. Individual samples follow the format of [Parent_ID]_[analysis-specific indicator code]-[replicate number] (i.e. CM_005_OCN-1). Not all sample types have replicates. See CM_SSS_readme.pdf for more details.,text,column_header
Sediment,N/A,Estimated dominant sediment type/size class of streambed. Size/type classes include gravel/cobble (>2 millimeters); sand; silt/mud (<0.0625 millimeters); or bedrock (primarily).,text,column_header
Sediment_Collection_Depth_cm,centimeters,Depth of sediment collection.,numeric,column_header
Site_ID,N/A,Site ID.,text,column_header
Site_Name,N/A,Name of site.,text,column_header
Standard,N/A,ESS-DIVE Reporting Format or other standard applied to the data file.,text,column_header
StartMeasureTime,hh:mm,Start time of laboratory incubation.,time,column_header
State,N/A,State.,text,column_header
State_or_Province,N/A,State or province where sample was collected.,text,column_header
StopMeasureTime,hh:mm,Stop time of laboratory incubation.,time,column_header
Stream_Name,N/A,Stream name.,text,column_header
Temperature,degree_celsius,Water temperature from dissolved oxygen (DO) sensor (miniDOT) in degrees Celsius measured during in situ sensor deployment. The data excludes the first 20 minutes and last 5 minutes inside the water to account for the equilibration time of the instrument for the CM Data. SSS data are trimmed to the average time of equilibrated CM data.,numeric,column_header
Temperature_degreesC,degrees_Celsius,Fibox temperature at each measurement during incubation.,numeric,column_header
Temperature_sd,degrees_Celsius,Standard deviation of water temperature calculated from the dissolved oxygen (DO) sensor measured during in situ sensor deployment. This calculation excludes the first 20 minutes and last 5 minutes inside the water to account for the equilibration time of the instrument. The dissolved oxygen data also includes an offset for instrument calibration.,numeric,column_header
Term_Type,N/A,Indicates whether the header is a column header or row header.,text,column_header
Time_Zone,N/A,Local time zone.,text,column_header
Total_Incubation_Time_Min,hh:mm,Total time of laboratory sediment incubation.,numeric,column_header
Unit,N/A,Unit of measurement that applies to a given column or row in the data package.,text,column_or_row_header
Unit_Basis,N/A,Basis of the units listed in the column.,text,row_header
Water_Depth_cm,centimeters,Vertical distance between water surface and bed of sampling location.,numeric,column_header
Water_Mass_g,grams,Water mass.,numeric,column_header
Weather,N/A,Weather conditions (sunny; partly cloudy; overcast; raining; other) during sample  collection.,text,column_header
Wet_Sediment_Mass_g,grams,Mass of wet sediment.,numeric,column_header
Wet_Sediment_mL,milliliters,Volume of wet sediment. ,numeric,column_header
